"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","Business Support","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","Estates Manager","3.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","policy adviser","2.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","senior finance manager","1.50","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","senior finance manager","11.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","senior policy adviser","1.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","Senior Procurement Management","2.00","Procurement"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","A/BAND A","44300","59000","Senior Procurement Officer","1.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Business Support","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Estates Manager","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Estates Officer","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Finance Officer","1.60","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Finance Officer","2.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Finance Support Officer","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Finance Support Officer","3.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Legal Support Officer","0.72","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Operations Support Officer","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Procurement Officer","2.77","Procurement"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Procurement Support Officer","1.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B1/BAND B1","23557","29355","Procurement Support Officer","3.00","Procurement"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Business Manager","4.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Business Manager","2.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Business Support","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Estates Manager","1.00","Procurement"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Estates Officer","2.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Estates Officer","1.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Executive Assistant","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Finance Officer","1.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Finance Officer","10.60","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Finance Officer","1.00","Procurement"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Operational manager","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","policy adviser","2.00","Policy"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","policy adviser","1.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Procurement Officer","1.00","Finance"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Procurement Officer","4.00","Procurement"
"Cabinet Office","Cabinet Office","Finance and Estates Management","99","B2/BAND B2","29819","38103","Procurement Support Officer","3.00","Procurement"
