Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17418177,"44,284.48"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17508233,"81,156.40"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17606410,"101,488.53"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17692601,"109,695.79"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17358012,"149,283.48"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Computer Software/License,PACS / CRIS,ACCENTURE (UK) LTD,17591438,"67,827.90"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17607246,"26,058.36"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17692865,"26,058.36"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17508761,"27,466.92"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17358722,"28,171.20"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17508765,"28,171.20"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17607242,"28,875.48"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17508760,"31,692.60"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17418520,"42,256.80"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17358742,"47,804.80"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17607211,"64,049.94"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17508764,"71,132.28"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALCURA UK LTD,17607217,"112,061.82"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,ALLIANCE HEALTHCARE DISTRIBUTION LTD,17605981,"29,718.00"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Computer Software/License,Workforce Dev & MAP,ALLOCATE SOFTWARE PLC,17430395,"44,124.00"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Childcare,Human Resources,ALLSAVE,SSC DD/PLYMOUTH HOSPITALS,"37,608.67"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Blood Products,Clinical Haematology,ANTHONY NOLAN TRUST,17744500,"40,920.00"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,BATH ASU,17358032,"27,870.96"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,BATH ASU,17606485,"32,700.60"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,BATH ASU,17358029,"32,724.60"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Drugs,Pharmacy,BATH ASU,17692621,"32,724.60"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,17532340,"-25,704.00"
Department of Health,Plymouth Hospitals NHS TRUST,29/02/2016,Other Gen Supplies & Srv,Cardiac Surgery,BMI HEALTHCARE COLLECTIONS,17468247,"533,193.00"
