DEPARTMENT,ENTITY,DATE PAID,EXPENSE TYPE,EXPENSE AREA,SUPPLIER NAME,TRANSACTION NUMBER,AMOUNT
Department of Health,Whittington NHS Trust,23/01/2014,General Practioner Agency,Hanley Road,Amili Ali,603936,26595
Department of Health,Whittington NHS Trust,01/01/2014,Laundry Service,Laundry,Berendsen Uk Ltd,603434,55696.76
Department of Health,Whittington NHS Trust,09/01/2014,FSA workers,Generic Workers,Buzz Housekeeping Services,607912,25455.59
Department of Health,Whittington NHS Trust,01/01/2014,Sla-Liaison Psychiatry,Accident & Emergency,Camden & Islington Nhs Foundation Trust,604435,44898
Department of Health,Whittington NHS Trust,01/01/2014,Gas,Environment,Corona Energy Retail Ltd,605299,44767.27
Department of Health,Whittington NHS Trust,01/01/2014,Gas,Environment,Corona Energy Retail Ltd,605007,75719.26
Department of Health,Whittington NHS Trust,23/01/2014,Gas,Environment,Corona Energy Retail Ltd,611479,119317.37
Department of Health,Whittington NHS Trust,01/01/2014,Electricity,Environment,Edf Energy,604306,94281.12
Department of Health,Whittington NHS Trust,01/01/2014,Electricity,Environment,Edf Energy,604306,75.85
Department of Health,Whittington NHS Trust,01/01/2014,Childcare - Fideliti,Balance Sheet,Fideliti Ltd,604553,28054.23
Department of Health,Whittington NHS Trust,01/01/2014,Childcare Vouchers,Childcare,Fideliti Ltd,604553,302.99
Department of Health,Whittington NHS Trust,16/01/2014,Other Reagents,Integrated Blood Science,Ibg Immucor Ltd,609358,32182.91
Department of Health,Whittington NHS Trust,01/01/2014,Sterile Services (Cont Out),Sterile Services (Cont Out),Ih Sterile Services Ltd (Hcl Med Tech),603177,44772.59
Department of Health,Whittington NHS Trust,09/01/2014,Hardware Purchases,Technical Services,Insight Direct (Uk) Ltd,605319,28257.2
Department of Health,Whittington NHS Trust,01/01/2014,Other Ext General Services,Integrated Comm Equip Services,Islington Council,567308,112500
Department of Health,Whittington NHS Trust,01/01/2014,Other Ext General Services,Integrated Comm Equip Services,Islington Council,590449,112500
Department of Health,Whittington NHS Trust,23/01/2014,Other Ext General Services,Integrated Comm Equip Services,Islington Council,611434,112500
Department of Health,Whittington NHS Trust,01/01/2014,Equipment Maintenance,Whittington Pharmacy,Jac Computer Services Ltd,605864,60353
Department of Health,Whittington NHS Trust,01/01/2014,Rates-General,Trust Headquarters -Goswell Rd,London Borough Of Islington,605015,27823
Department of Health,Whittington NHS Trust,01/01/2014,Rates-General,Estates Management,London Borough Of Islington,604537,112439
Department of Health,Whittington NHS Trust,01/01/2014,Ambulance Contract,Front Of House & Transport,Medical Services Ltd,602867,58252
Department of Health,Whittington NHS Trust,23/01/2014,Ambulance Contract,Front Of House & Transport,Medical Services Ltd,608756,58252
Department of Health,Whittington NHS Trust,23/01/2014,Blood Transfusion Service,Blood Recharge,Nhs Blood And Transplant,608086,111494.05
Department of Health,Whittington NHS Trust,15/01/2014,CNST Premium,Risk Management,Nhs Litigation Authority,Direct Debit,493516
Department of Health,Whittington NHS Trust,15/01/2014,Insurance,Finance Director,Nhs Litigation Authority,Direct Debit,24098
Department of Health,Whittington NHS Trust,09/01/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,605218,62685.31
Department of Health,Whittington NHS Trust,23/01/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,606586,63608.06
Department of Health,Whittington NHS Trust,01/01/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,604459,63957.5
Department of Health,Whittington NHS Trust,01/01/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,601288,64319.74
Department of Health,Whittington NHS Trust,01/01/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,601295,65531.4
Department of Health,Whittington NHS Trust,16/01/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,606394,69177.38
Department of Health,Whittington NHS Trust,09/01/2014,Main Works Contract,Capital,Quest Interiors Ltd,605839,59823.96
Department of Health,Whittington NHS Trust,01/01/2014,External It Service,Patient Systems,Royal Borough Of Greenwich,604431,74650
Department of Health,Whittington NHS Trust,16/01/2014,Main Works Contract,Capital,Storm Building Ltd,606476,30609.85
Department of Health,Whittington NHS Trust,01/01/2014,Main Works Contract,Capital,Storm Building Ltd,601117,34161.84
Department of Health,Whittington NHS Trust,16/01/2014,Stock-Pharmacy,Balance Sheet,The Royal Free London Nhs Ft,607806,68471.39
Department of Health,Whittington NHS Trust,01/01/2014,Stock-Pharmacy,Balance Sheet,The Royal Free London Nhs Ft,604206,91950.61
Department of Health,Whittington NHS Trust,16/01/2014,Internal Audit,Finance Director,Tiaa Ltd,600165,24087
Department of Health,Whittington NHS Trust,16/01/2014,Counterfraud services,Finance Director,Tiaa Ltd,600165,8591.25
Department of Health,Whittington NHS Trust,23/01/2014,Main Works Contract,Capital,Whittington Facilities Ltd,610873,75685.84
