Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20405729,29913.48
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20289926,36947.6
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20324536,37196.55
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20217015,45956.14
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20161854,70440.52
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20108586,74477.27
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20374641,75588.81
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,ALCURA UK LTD,20108810,48535.62
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Laboratory External Tests,Clinical Haematology,ANTHONY NOLAN TRUST,20071869,37446.73
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Rent,Bush Park,ATHERTEAM LTD,20371990,46662.9
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405737,-57144
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405739,-42882
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405738,-42864
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20108592,34224
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405744,41082
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405746,41082
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405741,42864
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405740,42882
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405745,54744
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BATH ASU,20405742,57144
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Medical Gases,Pharmacy Central,BOC LTD,20148104,31200
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,20292031,29475
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Blood Products,Clinical Haematology,BUPA HOME HEALTHCARE LTD,20352140,100382.34
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,20291992,27238.4
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Independent Sector,Ear Nose & Throat,CARE UK CLINICAL SERVICES LTD,20123005,26593.72
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Independent Sector,Neurosurgery,CARE UK CLINICAL SERVICES LTD,20251271,37833.03
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Other Gen Supplies & Srv,Central Other,CARE UK CLINICAL SERVICES LTD,20134970,-92504.55
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Other Gen Supplies & Srv,Central Other,CARE UK CLINICAL SERVICES LTD,20134968,92504.55
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Fixed assets,Balance Sheet,CDW LTD,20146497,43804.5
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,CELGENE LTD,20263191,-29988
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,CELGENE LTD,20292466,26460
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,CO2 Allowances,Energy And Utilities,DEPARTMENT OF ENERGY & CLIMATE CHANGE,20386181,253956.3
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Rent,Norwich Union,EAGLE ONE LTD,20122281,93981.75
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,20103493,-32400
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,20123864,44400
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Med & Surg Equip General,Catheter Lab,EDWARDS LIFESCIENCES LTD,20302679,-25200
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Fixed assets,Balance Sheet,FUJIFILM SONOSITE LTD,20148146,31199.88
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,20405771,84540
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,20405772,84540
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20292081,25200
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20108648,37800
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20242505,47457.78
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20108645,51030
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20242503,52118.4
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20242504,52195
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20242506,71700
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HOLOGIC LTD,20192091,53520
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,20217079,32856.84
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,20292062,32856.84
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,20108621,55452.32
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,20216613,30359.74
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,20122366,71847.35
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Contr Other External,Switchboard,INDIGO PARK SERVICES UK LTD,20122366,30241.98
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Contr Premises Security,Car Parking,INDIGO PARK SERVICES UK LTD,20173032,37867.5
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Contr Premises Security,Security,INDIGO PARK SERVICES UK LTD,20122366,39246.83
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Independent Sector,Radiology,INHEALTH LTD,20123014,27750
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Independent Sector,Radiology,INHEALTH LTD,20322211,27750
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Independent Sector,Radiology,INHEALTH LTD,20224225,44284.37
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Independent Sector,Radiology,INHEALTH LTD,20322091,46018.75
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Fixed assets,Balance Sheet,KIER CONSTRUCTION WESTERN & WALES,20288284,33917.62
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Fixed assets,Balance Sheet,KIER CONSTRUCTION WESTERN & WALES,20288283,52795.03
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Gas,Energy And Utilities,LASER ENERGY BUYING GROUP,20009489,235484.98
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Contr Other External,Retail Pharmacy,LLOYDS PHARMACY LTD,20191688,916982.81
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Contr Other External,Retail Pharmacy,LLOYDS PHARMACY LTD,20301589,1031890.73
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Other Clinical Costs,Radiology,MEDICA REPORTING LTD,20301695,49175.5
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Stents,Interventional Neuro,MEDTRONIC LTD,20173024,25689.6
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Fixed assets,Balance Sheet,N G JOHNSON (NORTHERN) LTD,20124453,65643.6
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Blood Products,Blood,NHS BLOOD & TRANSPLANT,20371712,192670.75
Department of Health,Plymouth Hospitals NHS TRUST,9/30/2016,CNST contributions,Central Other,NHS LITIGATION AUTHORITY,SSC DD - NHSLA,1616902
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19706433,107173.58
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20161272,114773.32
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20214911,118813.28
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20288269,124033.47
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20288257,125093.72
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20161235,129466.19
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20161231,129822.15
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20122288,130728.5
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20386643,164483.04
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20386646,177586.11
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20215942,218160.18
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20161203,274637.27
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Consumables,Procurement,NHS SUPPLY CHAIN,20146158,83414.37
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Consumables,Procurement,NHS SUPPLY CHAIN,20372600,88502.95
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Consumables,Procurement,NHS SUPPLY CHAIN,20252185,101593.63
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Equip Maint Contracts,Breast Cancer Screening,NHS SUPPLY CHAIN,20050578,251623.05
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2016,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,20324581,85866.6
