Contract ID,Date From,Date To,Review Date,Value,Category,Department,Type,Description,SuppID,Supplier,SupSize,Address 1,Address 2,Address 3,Post Code
C036,04/04/2012,03/04/2017,03/04/2016,30000,Housing Management,Housing & Property,Official Journal of the European Union,Sale & Development of Land at Northway (Westlands Drive & Dora Carr Close) & Cowley (Barns Road) for the purpose of building New Homes & building & management of co-located community facilities,20016879,OXFORD CITIZENS HOUSING ASSOCIATION LTD (BIG),SME,244 BARNS ROAD,OXFORD,,OX4 3RW
C040,09/05/2008,30/09/2017,30/09/2016,0,Street & Traffic Management,Direct Services,Tender,Provision of RingGo Mobile Phone based Parking Payments System Agreement,20014436,COBALT TELEPHONE TECHNOLOGIES,SME,INTEC 2,WADE ROAD,BASINGSTOKE,RG24 8NE
C047,01/09/2008,31/03/2017,31/03/2016,250000,Information Communication Technology,Business Improvement,Official Journal of the European Union,CRM,20014697,KANA SOFTWARE IRELAND LTD,SME,CONCOURSE II,QUEEN'S ROAD,QUEEN'S ISLAND,BT3 9EZ
C048,25/06/2012,24/06/2017,01/01/2017,38580,Information Communication Technology,Law & Governance,Tender,Iken End User Software Licence and Services Agreement for the Iken Case Management and Time Recording System for Oxford City Council,20017397,IKEN BUSINESS LTD,SME,FAO ACCOUNTS PAYABLE,FROOMSGATE HOUSE,RUPERT STREET,BS1 2QJ
C050,01/12/2011,31/03/2017,31/03/2016,300000,Information Communication Technology,Financial Services,Official Journal of the European Union,Agresso Financial and Related Software Application,20008268,UNIT 4 BUSINESS SOFTWARE LTD.,LGE,ST GEORGE HALL,EASTON IN GORDANO,BRISTOL,BS20 0PX
C051,01/08/2011,29/10/2018,01/08/2016,15000,Information Communication Technology,Business Improvement,Tender,Planning Finder (Argent),20014674,PLANNINGFINDER LIMITED,SME,PROSPECT HOUSE,ROUEN ROAD,NORWICH,NR1 1RE
C054,28/11/2011,29/11/2018,01/07/2016,720000,Information Communication Technology,Business Improvement,Framework,Integrated Land & Property Management System,20013463,IDOX SOFTWARE LTD,SME,7TH FLOOR EAST,95 BOTHWELL STREET,GLASGOW,G2 7HX
C057,20/01/2011,31/03/2019,01/01/2018,320398,Information Communication Technology,Business Improvement,Tender,"Housing Benefits, Council Tax, Business Rates & Income Management System (Academy) - Support & Maintenance",20011589,CAPITA BUSINESS SERVICES LTD,LGE,CAPITA BUSINESS SERVICES LTD,PO BOX 212,FAVERDALE INDUSTRIAL ESTATE,DL1 9HN
C060,01/09/2004,28/02/2019,31/12/2013,650000,Information Communication Technology,Business Improvement,Official Journal of the European Union,Servitor - Support and Maintenance,20010153,CIVICA UK LTD,LGE,CASTLEGATE HOUSE,CASTLEGATE DRIVE,DUDLEY,DY1 4TD
C063,16/11/2010,31/03/2017,31/03/2016,72000,Legal Services,Law & Governance,Tender,Modern gov,20016668,MODERN MINDSET LTD,SME,OLD HALLS BARN,THE BROWS,LISS,GU33 6JG
C068,01/01/2013,28/09/2018,01/01/2018,53150,Information Communication Technology,Business Improvement,Tender,CorVu Strategic Management,20014931,ROCKET SOFTWARE UK LTD,SME,4 THE SQUARE,STOCKLEY PARK,UXBRIDGE,UB11 1ET
C097,10/05/2010,31/03/2017,31/03/2016,12690,Facilities & Management Services,Community Services,Tender,Plumbed-in Water Coolers and maintenance of 2 drinking fountains,20015952,COOLERAID LTD,SME,THE OLD RAILWAY STATION,PADDOCK DRIVE,GREEN ROAD,CB8 9WT
C140,01/10/2010,31/03/2017,30/09/2013,80000,Legal Services,Law & Governance,Official Journal of the European Union,Legal Services Framework,20008923,TROWERS & HAMLINS,LGE,3 BUNHILL ROW,LONDON,,EC1Y 8YZ
C146,01/04/2012,31/03/2017,01/01/2017,24000,Legal Services,Law & Governance,Tender,PLC Services - Online legal research facilities,20012030,THOMSON REUTERS (PROFESSIONAL) UK LTD,SME,SUBSCRIPTIONS DEPARTMENT,19 HATFIELDS,LONDON,SE1 8DJ
C147,30/03/2009,30/03/2024,29/03/2017,0,Arts & Leisure Services,Community Services,Tender,"Leisure Facilities Development, Management and Operations",20015211,FUSION LIFESTYLE,SME,4 BICKELS YARD,151 - 153 BERMONDSEY STREET,LONDON,SE1 3HA
C148,01/05/2013,30/04/2018,30/04/2017,210000,Construction,Housing & Property,Tender,Boiler Servicing & Maintenance,20000210,BARKER & EVANS LTD,SME,WYKHAM MILL,VANTAGE BUSINESS PARK,BANBURY,OX16 9UX
C194,01/06/2012,31/05/2017,01/11/2016,105000,Construction,Direct Services,Official Journal of the European Union,"Supply, Delivery and Fitting of Street Name Plates",20017539,NIBRA SIGNS LTD,SME,UNIT 7 DUCKMOOR ROAD INDUSTRIAL ESTATE,DUCKMOOR ROAD,ASHTON,BS3 2BJ
C237,01/05/2009,31/03/2018,30/04/2014,300000,Vehicle Management,Direct Services,Tender,Supply of Non Original Equipment Vehicle Parts,20002198,FRENCO SERVICE REPLACMNTS LTD,SME,UNIT 15 THORPE PLACE,OVERTHORPE INDUSTRIAL ESTATE,BANBURY,OX16 4XH
C250,06/10/2010,05/10/2017,01/01/2017,0,Environmental Services,Direct Services,Tender,Oxford City Council`s Materials Recycling Bulking & Transport Services and West Oxfordshire Materials Recycling Bulking & Transport Services,20007990,VIRIDOR WASTE MANAGEMENT,LGE,PO BOX 237,TAUNTON,SOMERSET,TA1 1QU
C294,01/03/2013,28/02/2018,26/03/2018,0,Environmental Services,Direct Services,Official Journal of the European Union,Lease of Solar Powered compacting  bins with telemetric capability and Purchase and maintenance of Solar Powered compact bins with telemetric capability,20017679,KYRON ENERGY AND POWER LTD,SME,UNIT 8D TELECOMMUTE CENTRE,DUNSHAUGHLIN BUSINESS PARK,"DUNSHAUGHLIN, CO MEATH",
C296,11/03/2013,10/03/2018,01/09/2016,0,Information Communication Technology,Business Improvement,Request For Quotation,Provision of CRM software and professional licences,20017717,WORKBOOKS ONLINE LTD,SME,UNIT 9 SUTTONS PARK AVENUE,READING,BERKS,RG6 1AZ
