ORGANISATION NAME,EFFECTIVE    DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,599.2,EQUIPMENT - GENERAL,V000951431
ROCHDALE BOROUGH COUNCIL,05/09/2016,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,05/09/2016,717.92,EQUIPMENT - GENERAL,V000980138
ROCHDALE BOROUGH COUNCIL,26/09/2016,ECONOMY DIRECTORATE,OFFICE DEPOT UK LIMITED,26/09/2016,1512,ACTIVITIES,V000983304
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,533.52,EQUIPMENT - GENERAL,V001002962
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,987.84,PRINTING,V001033578
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,1618.4,MARKETING EXPENDITURE,V001034007
ROCHDALE BOROUGH COUNCIL,26/09/2016,LEARNING DIS & MENTAL HEALTH,OFFICE DEPOT UK LIMITED,26/09/2016,898.24,REPROGRAPHIC EXPENSES,V001035452
ROCHDALE BOROUGH COUNCIL,06/09/2016,PUBLIC HEALTH,PENNINE CARE NHS,06/09/2016,90750,PH PENNINE CARE CONTRACT,V001035534
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,02/09/2016,2967.01,FOSTER PARENTS BASIC ALLOWANCE,V001035574
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,02/09/2016,2878,FOSTER PARENTS BASIC ALLOWANCE,V001035575
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,02/09/2016,3277.49,FOSTER PARENTS BASIC ALLOWANCE,V001035576
ROCHDALE BOROUGH COUNCIL,06/09/2016,CHILDREN’S SOCIAL CARE,AFTER ADOPTION,06/09/2016,2000,ACTIVITIES,V001035623
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,EDGE HILL UNIVERSITY,02/09/2016,1493.33,YOUNG PEOPLES RENTS,V001035673
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,942.68,PRINTING,V001035680
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,2159.15,PROJECTS,V001035681
ROCHDALE BOROUGH COUNCIL,06/09/2016,CHILDREN’S SOCIAL CARE,ROCHDALE BOROUGHWIDE HOUSING,06/09/2016,3336.32,YOUNG PEOPLES RENTS,V001035698
ROCHDALE BOROUGH COUNCIL,05/09/2016,BETTER CARE FUND POOLED BUDGET,THE STROKE ASSOCIATION,05/09/2016,2258.08,VOLUNTARY ASSOCIATIONS,V001036013
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,NORTH CHADDERTON SCHOOL,01/09/2016,4414,OTHER EST - SEN PROVISION,V001036014
ROCHDALE BOROUGH COUNCIL,05/09/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,05/09/2016,11197.34,OTHER LA`S - SEN PROVISION,V001036028
ROCHDALE BOROUGH COUNCIL,05/09/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,05/09/2016,11197.34,OTHER LA`S - SEN PROVISION,V001036029
ROCHDALE BOROUGH COUNCIL,05/09/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,05/09/2016,10871.16,OTHER LA`S - SEN PROVISION,V001036030
ROCHDALE BOROUGH COUNCIL,05/09/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,05/09/2016,10977.66,OTHER LA`S - SEN PROVISION,V001036031
ROCHDALE BOROUGH COUNCIL,05/09/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,05/09/2016,10977.66,OTHER LA`S - SEN PROVISION,V001036032
ROCHDALE BOROUGH COUNCIL,07/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,THE SANCTUARY TRUST,07/09/2016,4500,GRANTS TO THE VOLUNTARY SECTOR,V001036044
