Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,DERMATOLOGY MEDICAL STAFF,SOLENT NHS TRUST,20078717,4105.98,54146601
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,DERMATOLOGY OUTPATIENT,SOLENT NHS TRUST,20078717,19501.25,54146601
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,Gynae Medical Staff,SOLENT NHS TRUST,20078717,-43.2,54146601
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,ONC/HAEM DAY UNIT,SOLENT NHS TRUST,20078717,219.7,54146601
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,OUTPATIENTS CLINICAL,SOLENT NHS TRUST,20078717,559.7,54146601
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,SNR MED STAFF (ELDERLY),SOLENT NHS TRUST,20078717,1071.52,54146601
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,gastro,SOLENT NHS TRUST,20078717,-8.81,54146601
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,DERMATOLOGY MEDICAL STAFF,SOLENT NHS TRUST,20078725,11747.49,54146944
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,DERMATOLOGY OUTPATIENT,SOLENT NHS TRUST,20078725,16481.65,54146944
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,Gynae Medical Staff,SOLENT NHS TRUST,20078725,57.71,54146944
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,OUTPATIENTS CLINICAL,SOLENT NHS TRUST,20078725,537.37,54146944
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,RHEUMATOLOGY CENTRAL,SOLENT NHS TRUST,20078725,47.92,54146944
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Drugs,SNR MED STAFF (ELDERLY),SOLENT NHS TRUST,20078725,97.36,54146944
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Computer Maintenance,PACs/CRIS Consortium,EBBEROD CAPITAL LTD,20078744,276432.36,1113
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Sewerage,UTILITIES QAH,SOUTHERN WATER SERVICES LTD,20078751,30978.66,70109758094
Department of Health,Portsmouth Hospitals Trust,01/09/2016 18:49,Laboratory Chemicals,NEONATAL SCREENING (CHEM),PERKINELMER LAS (UK) LTD,20082315,34146,3100744465
Department of Health,Portsmouth Hospitals Trust,07/09/2016 19:12,Lease Rents,MITCHELL WAY PREMISES,SAVILLS (UK) LTD,20160338,44046,A568524
Department of Health,Portsmouth Hospitals Trust,08/09/2016 17:09,Pacemakers,Cardiac Cath Lab,BIOTRONIK UK LTD,20161169,44424,513048088
Department of Health,Portsmouth Hospitals Trust,09/09/2016 17:08,External Consultancy Fees,ICT OPERATIONS,TAYLOR MADE COMPUTER SOLUTIONS LTD,20170742,70200,SIN061237
Department of Health,Portsmouth Hospitals Trust,08/09/2016 19:11,FP10S,FP10S TO RECHARGE,NHS BUSINESS SERVICES AUTHORITY,20172115,97082.76,1000049099
Department of Health,Portsmouth Hospitals Trust,09/09/2016 19:42,Commercial Sector,CHANDLERS FORD DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,20189112,42279.98,1050489951
Department of Health,Portsmouth Hospitals Trust,09/09/2016 19:42,Commercial Sector,B`STOKE DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,20189117,31776.32,1050489949
Department of Health,Portsmouth Hospitals Trust,09/09/2016 19:42,Laboratory External Tests,transplant tissue typing,NHS BLOOD & TRANSPLANT,20189142,41792.55,602793
Department of Health,Portsmouth Hospitals Trust,12/09/2016 19:40,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,20210848,30566.34,16125714
Department of Health,Portsmouth Hospitals Trust,12/09/2016 19:40,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,20210878,32652.44,16146069
Department of Health,Portsmouth Hospitals Trust,13/09/2016 19:42,Laboratory Chemicals,BLOOD SCIENCES,RADIOMETER LTD,20226878,8675.4,438251
Department of Health,Portsmouth Hospitals Trust,14/09/2016 17:14,Laboratory Chemicals,BLOOD SCIENCES,RADIOMETER LTD,20226878,43377,438251
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20234717,854,WSH1500020527
