Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,31/09/2017,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,Redacted,2206442,N/A,Not yet available,23/08/2017,23382334,1,638,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,31/09/2017,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,Redacted,2206442,N/A,Not yet available,23/08/2017,23382333,1,848.5,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Awaiting,N/A,Not yet available,22/09/2017,23402389,1,625,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Awaiting,N/A,Not yet available,07/07/2017,23347696,1,800,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Awaiting,N/A,Not yet available,13/07/2017,23351199,1,1137,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Awaiting,N/A,Not yet available,15/09/2017,23398784,1,1330,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,25/08/2017,23381992,1,655,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,21/08/2017,23373218,1,665,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,26/07/2017,23353013,1,670,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,27/09/2017,23403945,1,745,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/09/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,10/07/2017,23348719,1,797.5,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
