Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,18362240,"63,312.83"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,18622227,"77,965.76"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,18537953,"89,641.10"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,18439700,"110,106.28"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Computer Software/License,PACS / CRIS,ACCENTURE (UK) LTD,18419005,"67,827.90"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,ALCURA UK LTD,18622438,"25,779.92"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,ALCURA UK LTD,18440020,"86,617.92"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,ALCURA UK LTD,18440019,"107,172.63"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,ALLERGAN LTD,18291840,"31,320.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Other Gen Supplies & Srv,Radiology,ALLIANCE MEDICAL LTD,18319882,"28,350.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Independent Sector,MRI,ALLIANCE MEDICAL LTD,18619126,"44,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Childcare,Human Resources,ALLSAVE,SSC DD/PLYMOUTH HOSPITALS,"38,590.52"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Med & Surg Maint Contract,Directorate Gen Medicine,AQUILANT ENDOSCOPY,18437625,"35,244.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Drugs,Pharmacy,BATH ASU,18537968,"27,384.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/04/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,18294160,"144,193.92"
