Organisation Name,Organisation Code,Contract Reference number,Title of the Agreement,Local authority department responsible,Description of goods and services,Start Date,End Date,Review Date,Extension Period (Years),Contract amount,Irrecoverable VAT,Supplier (Beneficiary) Name,Supplier (Beneficiary Type)  type,Nominated contact point,Pre-contractural process used,OrganisationURI,GeoPointLicencingURL
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,3424,Shared Internal Audit Services,Audit,Provision of Audit Management ,01/10/2014,30/09/2015,,0,"£28,370.00",£0.00,Tamworth Borough Council,Local Authority,Angela Struthers ,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,3245,Shared Building Control Service,Building Control,Building Control Service provided for Tamworth BC,01/04/2009,31/03/2012,,0,"£80,000.00",£0.00,Tamworth Borough Council,Local Authority,Ged Cooper,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Mini competition and Pro5 Government Framework direct award,Content Management System,Communications,Website software,26/03/2015,26/03/2020,26/03/2018,0,"£100,944.00",£0.00,Zengenti ,Large Organisation,Lizzie Thatcher,Mini competition and Pro5 Government Framework direct award,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,3302,Shared Printing Service,Communications,Shared Printing Service,01/04/2010,01/04/2012,01/04/2015,2,"£150,000.00",£0.00,WMBC Print & Design Services,Local Authority,Lizzie Thatcher,Market testing ,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Closed Circuit Television Repairs and Maintenance,Community Safety,Closed Circuit Television Repairs and Maintenance,,,,0,"£25,000.00",£0.00,Quadrant Security Group Ltd,SME,Jenni Coleman,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,CCTV Monitoring,"Community, Housing and Health Services",CCTV Monitoring,,01/05/2012,,0,"£90,000.00",£0.00,Legion Group,SME,Jenni Coleman,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Civil Contingencies Additional Support,"Community, Housing and Health Services",Additional staff support of one working day per week from Staffordshire Civil Contingencies Unit,01/04/2015,31/03/2016,01/01/2016,0,"£8,333.51",£0.00,Staffordshire Civil Contingencies Unit,Local Authority,Helen Titterton/Gareth Davies/Steve Berry,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Civil Contingencies Contribution to SRF Partnership,"Community, Housing and Health Services","LDC Contribution to Staffordshire Resilience Forum and support work by the Staffordshire Civil Contingencies Unit, based on Service Level Agreement",01/04/2015,31/03/2016,01/01/2016,0,"£12,000.00",£0.00,Staffordshire Resilience Forum / Staffordshire Civil Contingencies Unit,Local Authority,Helen Titterton/Gareth Davies/Steve Berry,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Contaminated Land,"Community, Housing and Health Services",Contaminated Land,01/04/2013,31/12/2018,,0,"£30,000.00",£0.00,Hydrock Limited,SME,Neil Wait,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,AM2015-NtoZ-00153,Intepretation and Translation Services,"Community, Housing and Health Services",Intepretation and Translation Services,01/06/2015,31/10/2016,,1,£500.00,£0.00,NHS Shared Buisness Services Limited,NHS,Ysanne Williams,Lot 1 of Framework Agreement through SCC,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Postal Services ,Customer Services,Postal Services,01/10/2006,04/04/2010,,0,"£60,000.00",£0.00,TNT,Large Organisation,Ysanne Williams,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,ESPO Framework,Vending Machines,Depot,"Hot, Cold Vending Machines",09/04/2015,08/04/2020,,5,"£5,691.40",£0.00,Options Management Limited,SME,Gary Brownridge,ESPO Framework,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Friary Outer / Friarsgate,Development Services,Friary Outer / Friarsgate development,01/01/2012,05/01/2015,,0,"£3,009,854.00",£0.00,S Harrison Developments Limited,Large Organisation,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Hydrock Consultants,Development Services,Hydrock Consultants,01/01/2012,05/01/2015,,0,"£19,000.00",£0.00,Hydrock Consultants,SME,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Pinsent Masons LLP,Development Services,Pinsent Masons LLP,01/01/2012,05/01/2015,,0,"£19,291.00",£0.00,Pinsent Masons LLP,Large Organisation,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Venn Group Limited,Development Services,Venn Group Limited,01/01/2012,05/01/2015,,0,"£22,454.00",£0.00,Venn Group Limited,Large Organisation,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Local World Limited,Development Services,Local World Limited,01/01/2012,05/01/2015,,0,"£50,952.00",£0.00,Local World Limited,SME,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Loafers,Development Services,Loafers,01/01/2012,05/01/2015,,0,"£52,032.00",£0.00,Loafers,SME,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,DTZ,Development Services,DTZ,01/01/2012,05/01/2015,,0,"£64,508.00",£0.00,DTZ,Large Organisation,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,W E Pointon & Sons Limited,Development Services,W E Pointon & Sons Limited,01/01/2012,05/01/2015,,0,"£90,663.00",£0.00,W E Pointon & Sons Limited,SME,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,ADT Fire & Security PLC,Development Services,ADT Fire & Security PLC,01/01/2012,05/01/2015,,0,"£129,014.00",£0.00,ADT Fire & Security PLC,SME,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,BWOC Limited,Development Services,BWOC Limited,01/01/2012,05/01/2015,,0,"£152,962.00",£0.00,BWOC Limited,SME,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,SSI Schaefer Limited,Development Services,SSI Schaefer Limited,01/01/2012,05/01/2015,,0,"£173,714.00",£0.00,SSI Schaefer Limited,Large Organisation,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,G4S Secure Solutions (UK) Limited,Development Services,G4S Secure Solutions (UK) Limited,01/01/2012,05/01/2015,,0,"£185,453.00",£0.00,G4S Secure Solutions (UK) Limited,Large Organisation,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Niken Construction Limited,Development Services,Niken Construction Limited,01/01/2012,05/01/2015,,0,"£497,425.00",£0.00,Niken Construction Limited,Large Organisation,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Gallagher Heath,Development Services,Gallagher Heath,01/01/2012,05/01/2015,,0,"£741,240.00",£0.00,Gallagher Heath,Large Organisation,Richard King,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Xpress Software Solutions,Elections,Electoral Services software,31/03/2014,01/04/2015,,0,"£17,714.00",£0.00,Xpress Software Solutions Limited,SME,Sarah Pearce,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Pest Control Contract,Environmental Health,Pest Control Contract,01/05/2011,30/04/2016,,0,"£27,000.00",£0.00,Mitie Pest Control,SME,Gareth Davies,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Taxi Vehicle Testing ,Environmental Health,Taxi Vehicle Testing,01/04/2012,31/03/2015,,0,"£10,000.00",£0.00,T Turner Autos Limited,SME,Neil Wait,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Crown Commercial Services Framework agreement,Insurance,Health and Safety,Insurance - Broker,01/04/2014,01/04/2016,,0,"£6,000.00",£0.00,Marsh,SME,Steve Langston,Crown Commercial Services Framework agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Crown Commercial Services Framework agreement,Insurance,Health and Safety,Insurance - Claims Handling,01/04/2015,31/03/2018,,2,"£6,600.00",£0.00,Gallagher Bassett,Large Organisation,Steve Langston,Crown Commercial Services Framework agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,3 x software provider reviews / quotations,Insurance,Health and Safety,Insurance - Claims Management Software,24/09/2007,23/09/2015,,0,"£28,000.00",£0.00,JC Applications Development (JCAD),SME,Steve Langston,3 x software provider reviews / quotations,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Crown Commercial Services Framework agreement,Insurance,Health and Safety,Insurance - Engineering and Inspection,01/04/2015,31/03/2018,,2,"£42,000.00",£0.00,Zurich Municipal,Large Organisation,Steve Langston,Crown Commercial Services Framework agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Crown Commercial Services Framework agreement,Insurance,Health and Safety,Insurance - all other cover (Inclusive of Insurance Premium Tax),01/04/2015,31/03/2018,,2,"£242,469.00",£0.00,Marsh collect the premiums on behalf of Risk Management Partners (RMP),SME,Steve Langston,Crown Commercial Services Framework agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,BT phone and broadband lines,"Information, Communication and Technology",BT phone and broadband lines , , ,,0,"£10,400.00",£0.00,British Telecomms PLC,Large Organisation,Kevin Sleeman,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,ESPO Framework,Confidential Waste Shredding,"Information, Communication and Technology",Confidential Waste Shredding,01/01/2015,31/12/2018,30/06/2018,0,"£10,075.00",£0.00,Shred Station Limited,SME,Diane Wood,ESPO Framework,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Document Image Processing System,"Information, Communication and Technology",Comino document scanning,13/06/2014,12/06/2015,01/03/2015,0,"£13,243.18",£0.00,Civica UK Limited,Large Organisation,Kevin Sleeman,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,CCS Framework RM828,Gsi Convergence Framework (GCF),"Information, Communication and Technology",Direct Network Service Provider - PSN-0237 CoCo,01/04/2014,31/03/2015,01/03/2015,0,"£15,000.00",£0.00,Vodafone ,Large Organisation,Kevin Sleeman,CCS Framework RM828,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Hardware support on server and network environment,"Information, Communication and Technology",Syscare Support Services for Servers and network,30/03/2014,30/03/2015,01/03/2015,0,"£5,807.68",£0.00,Prob-Solve Solutions Limited,SME,Kevin Sleeman,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,488,ICT Contract,"Information, Communication and Technology","Desktop support, managed LAN/WAN, server & storage, security & Authentication etc.",30/09/2010,29/09/2017,01/04/2016,4,"£290,541.00",£0.00,Northgate Information Solutions UK Limited,Large Organisation,Kevin Sleeman,OJEU Open Process,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Framework,Land and Property System (UniForm),"Information, Communication and Technology",Software Maintenance Agreement,01/04/2015,31/03/2016,01/01/2016,0,"£38,382.72",£0.00,Idox Software Limited,Large Organisation,Gareth Thomas,Framework,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,CCS Framework RM721,Microsoft Enterprise Agreement,"Information, Communication and Technology",Microsoft Licensing (Enterprise Agreement),01/05/2013,30/04/2016,01/01/2016,0,"£96,726.96",£0.00,Microsoft (via Softcat Limited),Large Organisation,Kevin Sleeman,CCS Framework RM721,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,CCS Framework RM1498,Mobile Phone Fleet,"Information, Communication and Technology",Mobile phones,01/02/2014,01/02/2017,01/12/2016,0,"£12,000.00",£0.00,EE / Orange,Large Organisation,Kevin Sleeman,CCS Framework RM1498,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,CCS Framework RM1498,Mobile Phone Fleet,"Information, Communication and Technology",Mobile phones,01/02/2014,01/02/2017,01/12/2016,0,"£12,000.00",£0.00,O2,Large Organisation,Kevin Sleeman,CCS Framework RM1498,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,CCS Framework RM721,PhantomPDF Standard 7* Special Software,"Information, Communication and Technology","Annual maintenance, Support & Upgrade Protection",23/02/2015,22/02/2018,22/12/2017,0,"£13,034.16",£0.00,Softcat Limited,Large Organisation,Kevin Sleeman,CCS Framework RM721,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Joint Service Agreement,Provision of Broadband Network Services,"Information, Communication and Technology","Provision of Broadband Network Services, Telephony and associated Support and Management",01/04/2012,23/12/2015,01/09/2015,0,"£81,148.91",£0.00,Staffordshire County Council,Local Authority,Kevin Sleeman,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,CCS Framework RM458,Provision of Corporate Print Solution,"Information, Communication and Technology",Supply of Multi Functional Devices,27/08/2012,01/12/2015,07/04/2015,0,"£218,078.60",£0.00,The Danwood Group Limited,Large Organisation,Kevin Sleeman,CCS Framework RM458,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Joint Service Agreement,Shared Procurement Service,"Information, Communication and Technology",Shared procurement service between LDC and SCC,01/10/2012,30/04/2015,,0,"£5,000.00",£0.00,Staffordshire County Council,Local Authority,Jane Kitchen,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Framework,Software Maintenance Agreement,"Information, Communication and Technology",ArcGIS software maintenance renewal,29/05/2014,30/06/2015,01/03/2015,0,"£15,267.50",£0.00,ESRI UK,Large Organisation,Gareth Thomas,Framework,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Joint Service Agreement,Staffordshire Connects 2013/14,"Information, Communication and Technology","Staffs Connects Core Team, ePayments, Customer Insight, Shared email Directory, CRM",01/04/2013,31/03/2017,01/01/2017,0,"£80,880.25",£0.00,Staffordshire County Council,Local Authority,Kevin Sleeman,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Joint Service Agreement,Supply of Electricity ,"Information, Communication and Technology",Electricity supplied to 29 sites,01/04/2008,31/03/2013,,2,"£270,160.00",£0.00,Npower via SCC Contract,Local Authority,Diane Wood,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Joint Service Agreement,Supply of Gas ,"Information, Communication and Technology",Gas supplied to 7 sites,01/04/2010,31/03/2014,,2,"£115,290.00",£0.00,Corona Energy via SCC Contract,Local Authority,Diane Wood,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Stoke City Council Framework,"Supply of Stationery, IT Consumables & Office Furniture","Information, Communication and Technology",Stationery and Office Furniture Purchases,01/12/2013,01/12/2016,01/09/2016,1,"£130,000.00",£0.00,Yes2Solutions,Large Organisation,Kevin Sleeman,Stoke City Council Framework,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,502,Support and maintenance of Flexpod infrastructure,"Information, Communication and Technology","Hardware Maintenance, Virtualisation Maintenance/Support and Storage Area Network Maintenance",27/02/2014,28/02/2019,01/04/2016,0,"£465,000.00",£0.00,ANS Group PLC,Large Organisation,Kevin Sleeman,CCS Framework RM721,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
