Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 3 Springwood Bu'ss Park, Brookwoods Industrial Park, Burrwood Way, Holywell Green       HX4 9BH",Andpak Ltd,18500,19/08/2015
"8 Bull Green, Halifax, HX1 5AB",,22000,01/09/2016
"Unit 2 Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",Monton Management Services Ltd,38500,01/07/2016
"207/207A King Cross Road, Halifax, HX1 3JL",,9000,20/09/2016
"105 Northgate, Halifax, HX1 1XF",Print Out Colour Printers Ltd,8600,19/07/2016
"Unit GY/6, Dean Clough Office Park, Halifax, HX3 5AX",Dean Clough Ltd,1925,19/08/2016
"Unit 1 & 2 Grove Mills, Elland Lane, Elland, HX5 9DZ",Waxman Holdings Ltd,66000,23/09/2016
"Unit 3 Grove Mills, Elland Lane, Elland, HX5 9DZ",Waxman Holdings Ltd,49750,23/09/2016
"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",,7900,27/09/2016
"36 Hanson Lane, Halifax, HX1 5NX",,7500,01/10/2016
"Lever Street, Todmorden, OL14 5QF",Joinery Equipment (Hire) Ltd,2325,01/10/2016
"350 Ovenden Road, Halifax, HX3 5TJ",Flying Jewel Ltd,2400,10/08/2016
"59/61 Bradford Road, Brighouse, HD6 1RS",,6700,23/08/2016
"18 Victoria Road, Elland, HX5 0PU",,3600,12/08/2016
"20 Victoria Road, Elland, HX5 0PU",,5500,12/08/2016
"Unit 1, 2 & 3 Victoria Park, Lightowler Road, Halifax, HX1 5ND",Tag Tool Hire Ltd,26500,01/04/2014
"Victoria Road, Sowerby Bridge, HX6 3AQ",V C E P Limited,11500,11/07/2016
"Victoria Road, Sowerby Bridge, HX6 3AQ",V C E P Limited,35250,11/07/2016
"Office 5 Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",High Q Uk Ltd,1000,01/08/2016
"Unit 9 Church View Offices, Elland Road, Ripponden, HX6 4DB",,3500,15/09/2016
"First Floor, 259/261 Queens Road, Halifax, HX1 4NS",,3150,22/01/2016
"Office 2 Britannia Works, Garden Street North, Halifax, HX3 6AE",Rycroft Health Llp,1100,06/10/2016
"227/227a King Cross Road, Halifax, HX1 3JL",Kaiwen Uk Ltd,6500,01/10/2016
"40 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DP",One Stop Stores Ltd,11250,01/04/2014
"Miall Street Mills, Miall Street, Halifax, HX1 4AE",Burrwood Garage Ltd,5200,07/10/2015
"3 Park Street, Brighouse, HD6 1AD",Flicker And Fizz Limited,3950,16/09/2016
"Unofficial Address, 9A Millhouse Works, Mill House Lane, Sowerby Bridge       HX6 3LN",,1050,01/04/2015
"Unit 10, The Ainleys, Huddersfield Road, Elland              HX5 9JR",Obl Contacts Ltd,2650,01/04/2016
"First Floor, 2 Wards End, Halifax, HX1 1DD",Epatech Limited,4350,02/04/2016
"145 Queens Road, Halifax, HX1 4LN",,3600,01/04/2015
"Wheatsheaf Hotel, 42 Mount Pellon, Pellon, Halifax             HX2 0EE",,9100,15/09/2016
"Unit 8 & 9 Victoria Park, Lightowler Road, Halifax, HX1 5ND",Ys Parcels Ltd,14750,02/11/2015
"5 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DN",,1700,01/04/2016
"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",Ernest Wilson & Co,3100,13/10/2016
"19 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",,3250,21/09/2016
"Unit G3 A, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",Brogan Business Parks Ltd,4150,18/06/2016
"Unit 5, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",,11000,08/08/2016
"10 Commercial Street, Halifax, HX1 1TA",,6800,29/09/2016
"Unit 6 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",,7600,06/04/2016
"Swalesmoor Farm (Whse), Swales Moor Road, Halifax, HX3 6UF",Leo Sawrij Ltd,67000,09/10/2016
"13 West End, Hebden Bridge, HX7 8JP",,2300,14/10/2016
"Office 3 2ND Floor, Venuture House, 3 Silver Street, Halifax              HX1 1HS",,6900,07/10/2016
"Office Suite F3 West F Mill, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,125000,09/08/2016
"Windmill Tavern, Park Square, Hough, Northowram           HX3 7BZ",,11250,23/09/2016
"1 Central Buildings, Town Hall Street, Sowerby Bridge, HX6 2QF",,4650,03/08/2016
"Calder Forge, Central Buildings, Hollins Mill Lane, Sowerby Bridge       HX6 2QG",,880,01/08/2016
"Bradford Road, Brighouse, HD6 1RY",Heritage Metals Ltd,7200,16/09/2016
"Portsmouth Mill, Station Parade, Todmorden, OL14 8PU",,14500,14/10/2016
"Unit 1 Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",,5100,01/06/2016
"Bowling Mill Courtyard No 4, Dean Clough Mills, Halifax, HX3 5AX",Barbar Khan Restaurant Ltd,33250,01/10/2016
"Unit 4C, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Syngenics Limited,3650,01/10/2016
"Unit 11C, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",,7900,01/09/2016
"71 Bradford Road, Brighouse, HD6 1RS",One Bright Dot Ltd,12000,29/09/2016
"114-116 Gibbet Street, Halifax, HX1 5BZ",,5400,22/08/2016
"Unit 5(1)&5(11) The Old Mill, Wellington Mills, Quebec Street, Elland               HX5 9AS",Prestige Fire Rated Building Systems Ltd,10250,13/09/2016
"Unit 18, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",Frank Marshall Estates Ltd,10750,25/10/2016
"Mill Royd Street, Brighouse, HD6 1EY",Younger Homes (Yorkshire) Ltd,41250,08/10/2016
"Unit 73 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",Glamour Secrets Limited,4100,19/09/2016
"25 Bull Green, Halifax, HX1 2RZ",Thompsons Gas And Heating Limited,12500,18/07/2016
"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Newmac Displays Ltd,4950,03/10/2016
"Quarry House, Burnley Road, Sowerby Bridge, HX6 2TF",Dean Smith And Grace Lathes Limited,7400,05/07/2016
"2 Phoenix Court, Wakefield Road, Brighouse, HD6 1PF",Sdh Project Services Ltd,3900,01/07/2016
"3 Phoenix Court, Wakefield Road, Brighouse, HD6 1PF",Sdh Project Services Ltd,13500,01/07/2016
"Unit 4B, Orchard Business Park, Scout Road, Mytholmroyd          HX7 5HZ",R E Thornber Ltd,3100,01/10/2016
"78 Huddersfield Road, Elland, HX5 9AA",,2700,20/01/2015
"Unit 1, Ellistones Lane, Greetland, Halifax              HX4 8NH",Sia Fibral Ltd,6800,15/07/2016
"King Cross Road, Halifax, HX1 3JL",Eclipse Property (HFX1) Limited,17250,13/05/2016
"Office, 6A Dodgeholme Court, Dodge Holme Close, Mixenden",Home Court Residence Ltd,520,19/02/2015
"10 Rochdale Road, Todmorden, OL14 5AA",,2075,12/09/2016
"Ground Floor, 156 Park Dene, Hopwood Lane, Halifax              HX1 4DF",,1600,01/01/2016
"Hydro Electric Power Scheme, Valley Cottage, Lower Lumb Falls, Hebden Bridge        HX7 6DF",Colden Water Power Company Ltd,2750,30/11/2015
"All Saints C Of E, Primary School, Dudwell Lane, Halifax              HX3 0SD",All Saints Ce (Va) J & I School,28500,01/04/2015
"Unit 3 White Lee, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QL",Thornber Chicks Ltd,4950,01/11/2016
"Duke Of York Inn, West Street, Shelf, Halifax             HX3 7LN",D Y S Pub Co Ltd,25000,07/10/2016
"Suite 5 Gf Unit 8 Unauth Add, Pennine Industrial Park, Valley Road, Hebden Bridge        HX7 7BZ",,18500,01/11/2016
"1 King Street, Brighouse, HD6 1NX",,7100,01/11/2016
"Brookwoods Estate, Burrwood Way, Holywell Green, Halifax             HX4 9BH",Medina Group Limited,76500,08/07/2016
"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ",,4750,01/04/2016
"Portacabin Adj, Spring Hall Mansion, Huddersfield Road, Halifax              HX3 0AQ",Calderdale Mbc Land & Property Services,7000,01/04/2015
"Pf Gf Unit 11 Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DA",The Arc & Throstle Property Ltd,680,01/10/2016
"Unit 5, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",Al-Haatif Limited,7100,21/10/2016
"Suite 2 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",Harley House Ripponden Ltd,970,29/10/2016
"23A Bull Close Lane, Halifax, HX1 2EF",,3750,01/11/2016
"Atlas Mill Road, Brighouse, HD6 1ES",,4900,02/11/2016
"Halifax Road, Shelf, Halifax, HX3 7JT",Goodman Retail Limited,171000,01/07/2016
"Unit 2 Waterside Buildings, Valley Road, Hebden Bridge, HX7 7BZ",Setbray Properties Ltd,1375,29/10/2016
