OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,AM0241422683365,Rugby World Cup screening at Millenium Square,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,21/09/2015,,,,,"£5,000.00",,"AMAZING TENT COMPANY LIMITED, 2 Blacknest, Owlpen, DURSLEY GLOUCESTERSHIRE, GL11 5BZ",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,AR021342272INV26353,Fire Sprinkler,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,25/09/2015,,,,,"£22,000.00",,"ARMSTRONG PRIESTLEY LTD, 77 Holbeck Lane, Holbeck, LEEDS, LS11 9UL",,d) Medium,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,BA02204225611194,City Centre Lampost Banners ,CITY DEVELOPMENT,211-Advertising,,09/09/2015,,,,,"£8,502.00",,"BAY MEDIA LTD, 19 Deane House Studio, 27 Greenwood Place Kentish Town, LONDON, NW5 1LB",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,BR0182422723653,15/16 Re roofing scheme - Bats survey,ENVIRONMENT & HOUSING,-,,25/09/2015,,,,,"£6,538.15",,"BROOKS ECOLOGICAL LTD, Unit A 1 Station Road, Guiseley, LEEDS, LS20 8BX",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,BU066042249B32923,Supply of Toilet Cubicles,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,02/09/2015,,,,,"£11,576.72",,"BUSHBOARD WASHROOM SYSTEMS, Unit 1400  Ist Floor Montague Court, Ketering Parkway Kettering Vent Pk, KETTERING, NN15 6XR",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CA2938422546003132364,Benefit Changes,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,07/09/2015,,,,,"£38,080.00",,"CAPITA BUSINESS SERVICES LTD, 71 Victoria Street, Westminster, LONDON, SW1H 0XA",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CA6162422728920,Specialist furniture,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,203-Operational Furniture And Equipment,,25/09/2015,,,,,"£7,955.00",,"1ST CALL MOBILITY LTD, Baros House, Elizabeth Way, HARLOW ESSEX, CM19 5AR",,c) Small,,,Unresolved
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CA704242272430,Fuel Poverty Loan,ENVIRONMENT & HOUSING,-,,25/09/2015,,,,,"£7,000.00",,"CARE & REPAIR LEEDS, 323 Roundhay Road, NULL, LEEDS, LS8 4HT",,c) Small,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CH150542264LEEDSLT01,Specialist Assessment Placement,CHILDRENS SERVICES,509-Independent Fostering Agencies,,17/09/2015,,,,,"£36,825.00",,"CHRYSALIS, 12 Tennyson Avenue, NULL, BRIDLINGTON, YO15 2EP",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CI602742254PIN-20510,ICT agency staff,CENTRAL & CORPORATE,8-Agency Staff,,07/09/2015,,,,,"£5,343.30",,"CIRCLE GROUP LIMITED, Close Invoice Finance Ltd,, Ridgeland House, 165 Dyke Road, HOVE, BN3 1UY",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CO176542265INV-782232087,Re-Roofing Works,ENVIRONMENT & HOUSING,205-Operational Materials,,18/09/2015,,,,,"£31,351.88",,"CORNEL BUILDING SERVICES LTD., 7 Broad Cut Road, Caldergrove, WAKEFIELD, WF4 3DR",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CO18104227211321,Software Solution  - DWP funded,CENTRAL & CORPORATE,214-Computer Software & Equipment,,25/09/2015,,,,,"£20,700.00",,"CALLCREDIT PUBLIC SECTOR LIMITED, ",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CO3107422712015/0841/3433/PO286,Killingbeck Fire Station,CITY DEVELOPMENT,-,,24/09/2015,,,,,"£43,495.86",,"COLAS LTD, Wallage Lane, Rowfant, CRAWLEY, RH10 4NF",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,CO8354422583944,Resettlement Programme,CENTRAL & CORPORATE,141-Rents,,11/09/2015,,,,,"£12,952.72",,"CONNECT HOUSING ASSOCIATION LIMITED, 205 Roundhay Road, NULL, LEEDS, LS8 4HS",,d) Medium,,,Waiver/DDN
