DfE No,School,Number of pupils on roll,No. with English as an additional language,% with English as an additional language
2005,Abbey Park Primary Academy,221,12,5.4
2019,Beech Hill School,618,508,82.2
2063,Bolton Brow Primary Academy,243,8,3.3
2004,Bradshaw Primary School,307,0,0
2053,Burnley Road Academy,256,2,0.8
2000,Field Lane Primary School,135,8,5.9
3331,Holy Trinity Primary School (COEA),413,240,58.1
2064,Luddendenfoot Academy,137,1,0.7
2002,Mount Pellon Primary Academy,583,410,70.3
2083,Old Earth School,459,11,2.4
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),187,15,8
5200,Salterlee Academy Trust,102,2,2
2056,Scout Road Academy,104,0,0
2094,Siddal Primary School,270,14,5.2
5203,"St John's (CE) Primary Academy, Clifton",210,3,1.4
3322,St John's CE Primary School (Rishworth),131,0,0
3306,St Malachy's Catholic Primary School,209,46,22
2049,The Greetland Academy,421,5,1.2
4035,The Halifax Academy,64,18,28.1
2027,Wainstalls School,158,0,0
2031,Whitehill Community Academy,620,15,2.4
 ,Calderdale,"5,848","1,318",22.5
,Note:,,,
,LA Maintained Schools Data Excluded.,,,
