DEPARTMENT,ENTITY,DATE PAID,EXPENSE TYPE,EXPENSE AREA,SUPPLIER NAME,TRANSACTION NUMBER,AMOUNT
Department of Health,Whittington NHS Trust,01/03/2014,Medical Equipment,Capital,Arx Ltd,620486,54257.78
Department of Health,Whittington NHS Trust,01/03/2014,Laundry Service,Laundry,Berendsen Uk Ltd,613812,54706.53
Department of Health,Whittington NHS Trust,01/03/2014,Childcare Vouchers,Childcare,Fideliti Ltd,621846,317.24
Department of Health,Whittington NHS Trust,01/03/2014,Islington Pct Nursery Fees,Balance Sheet,Fideliti Ltd,621846,29374.73
Department of Health,Whittington NHS Trust,01/03/2014,Ambulance Contract,Med Front Of House& Transp,Medical Services Ltd,616643,58252
Department of Health,Whittington NHS Trust,01/03/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,612820,51406.23
Department of Health,Whittington NHS Trust,01/03/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,614540,95424.97
Department of Health,Whittington NHS Trust,01/03/2014,Medical Equipment,Capital,Sakura Finetek Uk Ltd,620118,36974.95
Department of Health,Whittington NHS Trust,01/03/2014,Internal Audit,Finance Director,Tiaa Ltd,617186,24087
Department of Health,Whittington NHS Trust,01/03/2014,Building Service Charges,Whitt Education Centre,University College London,622555,-98823.99
Department of Health,Whittington NHS Trust,01/03/2014,Building Service Charges,Whitt Education Centre,University College London,556056,27967
Department of Health,Whittington NHS Trust,01/03/2014,Building Service Charges,Whitt Education Centre,University College London,556058,27967
Department of Health,Whittington NHS Trust,01/03/2014,Building Service Charges,Whitt Education Centre,University College London,556059,27967
Department of Health,Whittington NHS Trust,01/03/2014,Building Service Charges,Whitt Education Centre,University College London,556061,27967
Department of Health,Whittington NHS Trust,06/03/2014,Rents,Trust Headquarters -Goswell Rd,Bolton Group Ltd,623266,54964.8
Department of Health,Whittington NHS Trust,06/03/2014,Rates-General,Trust Headquarters -Goswell Rd,London Borough Of Islington,624564,55646
Department of Health,Whittington NHS Trust,06/03/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,616613,67080.45
Department of Health,Whittington NHS Trust,13/03/2014,Medical Equipment,Capital,Covidien (Uk) Commercial Ltd,621303,34996.8
Department of Health,Whittington NHS Trust,13/03/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,619512,64845.92
Department of Health,Whittington NHS Trust,13/03/2014,Main Works Contract,Capital,Storm Building Ltd,620330,50789.36
Department of Health,Whittington NHS Trust,13/03/2014,Main Works Contract,Capital,Storm Building Ltd,617574,85687.89
Department of Health,Whittington NHS Trust,13/03/2014,Main Works Contract,Capital,Storm Building Ltd,625947,151881.18
Department of Health,Whittington NHS Trust,13/03/2014,Main Works Contract,Capital,Storm Building Ltd,626402,199552.99
Department of Health,Whittington NHS Trust,20/03/2014,Laundry Service,Laundry,Berendsen Uk Ltd,624460,53895.38
Department of Health,Whittington NHS Trust,20/03/2014,FSA workers,Generic Workers,Buzz Housekeeping Services,626248,25018.22
Department of Health,Whittington NHS Trust,20/03/2014,Nhs Clinical Services,Pentonville Prison,Camden & Islington Nhs Foundation Trust,607913,397424
Department of Health,Whittington NHS Trust,20/03/2014,Computer Hardware,Capital,Cepheid Uk Ltd,621305,40757.76
Department of Health,Whittington NHS Trust,20/03/2014,Medical Equipment,Capital,Cepheid Uk Ltd,621305,2772
Department of Health,Whittington NHS Trust,20/03/2014,Gas,Environment,Corona Energy Retail Ltd,628538,-119317.37
Department of Health,Whittington NHS Trust,20/03/2014,Gas,Environment,Corona Energy Retail Ltd,628540,-75719.26
Department of Health,Whittington NHS Trust,20/03/2014,Gas,Environment,Corona Energy Retail Ltd,628539,45317.78
Department of Health,Whittington NHS Trust,20/03/2014,Gas,Environment,Corona Energy Retail Ltd,628522,53205.23
Department of Health,Whittington NHS Trust,20/03/2014,Gas,Environment,Corona Energy Retail Ltd,628513,56437.64
Department of Health,Whittington NHS Trust,20/03/2014,Gas,Environment,Corona Energy Retail Ltd,628510,62372.7
Department of Health,Whittington NHS Trust,20/03/2014,Software Purchase,Patient Systems,Csc Computer Services Ltd,626621,49397.84
Department of Health,Whittington NHS Trust,20/03/2014,Hardware Purchases,Clinical Governance,Datix Ltd,628395,45134.7
Department of Health,Whittington NHS Trust,20/03/2014,Medical Equipment,Capital,Draeger Medical Ltd,624116,25496.88
Department of Health,Whittington NHS Trust,20/03/2014,Electricity,Environment,Edf Energy,628053,84986.52
Department of Health,Whittington NHS Trust,20/03/2014,Electricity,Environment,Edf Energy,628053,54.84
Department of Health,Whittington NHS Trust,20/03/2014,Ambulance Contract,Med Front Of House& Transp,Medical Services Ltd,628021,58252
Department of Health,Whittington NHS Trust,20/03/2014,Rents,Estates Management,Metrus Property Advisors Ltd,628105,61096
Department of Health,Whittington NHS Trust,20/03/2014,Prison Staff Service,Pentonville Prison,Ministry Of Justice,605199,61349.93
Department of Health,Whittington NHS Trust,20/03/2014,Prison Staff Service,Pentonville Prison,Ministry Of Justice,605202,62118.94
Department of Health,Whittington NHS Trust,20/03/2014,Blood Transfusion Service,Blood Recharge,Nhs Blood And Transplant,612426,111494.05
Department of Health,Whittington NHS Trust,20/03/2014,Blood Transfusion Service,Blood Recharge,Nhs Blood And Transplant,621406,111494.05
Department of Health,Whittington NHS Trust,20/03/2014,Software Maintenance,Ict Department,Nhs North And East London Csu,599963,65247
Department of Health,Whittington NHS Trust,20/03/2014,Software Maintenance,Ict Department,Nhs North And East London Csu,583163,72408
Department of Health,Whittington NHS Trust,20/03/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,624513,58237.5
Department of Health,Whittington NHS Trust,20/03/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,621470,63787.05
Department of Health,Whittington NHS Trust,20/03/2014,Main Works Contract,Capital,Overbury Plc,621732,633897
Department of Health,Whittington NHS Trust,20/03/2014,Main Works Contract,Capital,Storm Building Ltd,625943,25177.76
Department of Health,Whittington NHS Trust,20/03/2014,Main Works Contract,Capital,Whittington Facilities Ltd,620499,58166.75
Department of Health,Whittington NHS Trust,20/03/2014,Main Works Contract,Capital,Whittington Facilities Ltd,623371,195029.69
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Barnet Enfield & Haringey Mental Health,605043,511700
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Barnet Enfield & Haringey Mental Health,615507,521567
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Barnet Enfield & Haringey Mental Health,578257,1053000
Department of Health,Whittington NHS Trust,27/03/2014,Hardware Maintenance,Integrated Blood Science,Clinisys Solutions Ltd,625877,104277.87
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Community Health Partnerships,605029,57278.05
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Community Health Partnerships,605031,57278.05
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Community Health Partnerships,605033,57278.05
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Community Health Partnerships,605028,171834.23
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Community Health Partnerships,605030,345967.53
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Community Health Partnerships,605032,345967.53
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Community Health Partnerships,605034,345967.53
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates,Community Health Partnerships,605027,1037902.54
Department of Health,Whittington NHS Trust,27/03/2014,Childcare Vouchers,Childcare,Fideliti Ltd,630625,300.83
Department of Health,Whittington NHS Trust,27/03/2014,Islington Pct Nursery Fees,Balance Sheet,Fideliti Ltd,630625,27853.91
Department of Health,Whittington NHS Trust,27/03/2014,Sterile Services,Sterile Services,Ih Sterile Services Ltd (Hcl Med Tech),613802,44566.46
Department of Health,Whittington NHS Trust,27/03/2014,Sterile Services,Sterile Services,Ih Sterile Services Ltd (Hcl Med Tech),621706,44566.46
Department of Health,Whittington NHS Trust,27/03/2014,Rates-General,Estates Management,London Borough Of Islington,630565,108934
Department of Health,Whittington NHS Trust,27/03/2014,Rates-General,Trust Headquarters -Goswell Rd,London Borough Of Islington,630581,25602
Department of Health,Whittington NHS Trust,27/03/2014,Prison Staff Service,Pentonville Prison,Ministry Of Justice,627917,66145.98
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates-Broadwater Farm Hc,Nhs Property Services Ltd,607237,25211.58
Department of Health,Whittington NHS Trust,27/03/2014,Rents,Estates-Broadwater Farm Hc,Nhs Property Services Ltd,607236,59880.23
Department of Health,Whittington NHS Trust,27/03/2014,Medical Equipment,Capital,Philips Healthcare,630558,28382.4
Department of Health,Whittington NHS Trust,27/03/2014,Medical Equipment,Capital,Smith & Nephew Endoscopy,630798,207341.07
Department of Health,Whittington NHS Trust,27/03/2014,Medical Equipment,Capital,Stryker Uk,630365,45302.4
