Organisation Name,Effective Date,Service,Supplier Name,Paid Date,Net Amount (£),Purpose,Transaction Number
Rochdale Borough Council,25/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,25/05/2016,1639.42,POSTAGE,V000942718
Rochdale Borough Council,20/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,20/05/2016,1692.27,POSTAGE,V000977160
Rochdale Borough Council,20/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,20/05/2016,609.12,POSTAGE,V000977162
Rochdale Borough Council,20/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,20/05/2016,2900.65,POSTAGE,V000981993
Rochdale Borough Council,25/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,25/05/2016,1901.05,POSTAGE,V000986740
Rochdale Borough Council,20/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,20/05/2016,1563.11,POSTAGE,V000989309
Rochdale Borough Council,19/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,19/05/2016,1093.8,PRINTING & STATIONERY,V000989310
Rochdale Borough Council,19/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,19/05/2016,2392.41,PRINTING & STATIONERY,V000989311
Rochdale Borough Council,19/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,19/05/2016,549.99,PRINTING & STATIONERY,V000990182
Rochdale Borough Council,19/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,19/05/2016,1546.84,PRINTING & STATIONERY,V000990235
Rochdale Borough Council,19/05/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,19/05/2016,2194.14,PRINTING & STATIONERY,V000990236
Rochdale Borough Council,06/05/2016,FINANCE SERVICES,TAMESIDE METROPOLITAN BOROUGH COUNCIL,06/05/2016,1000,SUBSCRIPTIONS,V000993700
Rochdale Borough Council,03/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CAPITA BUSINESS SERVICES LIMITED,03/05/2016,6000,SOFTWARE,V000995268
Rochdale Borough Council,05/05/2016,ECONOMY DIRECTORATE,BURY MBC,05/05/2016,2038.2,CONSULTANT FEES,V000996629
