DfE No,School,Number of pupils on roll,No. with English as an additional language,% with English as an additional language
2005,Abbey Park Primary Academy,223,12,5.4
2019,Beech Hill School,580,493,85
2063,Bolton Brow Primary Academy,242,8,3.3
2004,Bradshaw Primary School,305,1,0.3
2053,Burnley Road Academy,254,2,0.8
2000,Field Lane Primary School,135,10,7.4
3331,Holy Trinity Primary School (COEA),414,243,58.7
2064,Luddendenfoot Academy,134,1,0.7
2002,Mount Pellon Primary Academy,556,394,70.9
2083,Old Earth School,456,11,2.4
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),186,15,8.1
5200,Salterlee Academy Trust,106,2,1.9
2056,Scout Road Academy,108,0,0
2094,Siddal Primary School,265,12,4.5
5203,"St John's (CE) Primary Academy, Clifton",210,3,1.4
3322,St John's CE Primary School (Rishworth),132,0,0
3306,St Malachy's Catholic Primary School,209,45,21.5
2049,The Greetland Academy,417,5,1.2
4035,The Halifax Academy,63,18,28.6
2027,Wainstalls School,159,0,0
2031,Whitehill Community Academy,619,17,2.7
 ,Calderdale,5773,1292,22.4
,Note:,,,
,LA Maintained Schools Data Excluded.,,,
