Organisation Name,Effective date,Service,Supplier Name,Paid Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,01/02/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,01/02/2016,3020.00,FOSTER PARENTS BASIC ALLOWANCE,V000977040
ROCHDALE BOROUGH COUNCIL,01/02/2016,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,01/02/2016,1792.00,DISABILITY PLACEMENTS,V000977065
ROCHDALE BOROUGH COUNCIL,01/02/2016,CHILDREN’S SOCIAL CARE,THE TOGETHER TRUST,01/02/2016,2391.06,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V000977051
ROCHDALE BOROUGH COUNCIL,01/02/2016,CHILDREN’S SOCIAL CARE,THE TOGETHER TRUST,01/02/2016,7484.25,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V000977003
ROCHDALE BOROUGH COUNCIL,01/02/2016,CHILDREN’S SOCIAL CARE,THE TOGETHER TRUST,01/02/2016,7885.68,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V000977004
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,BACUP & RAWTENSTALL GRAMMAR SCHOOL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977043
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,BARNARDOS,01/02/2016,10703.66,ACTIVITIES,V000975972
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,BURY MBC,01/02/2016,1200.00,OTHER LOCAL AUTHORITIES,V000977119
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,BURY MBC,01/02/2016,2400.00,INDEPENDENT UNITS,V000977041
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,BURY MBC,01/02/2016,2400.00,OTHER LOCAL AUTHORITIES,V000977147
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,CAUDWELL CHILDREN,01/02/2016,948.43,ACTIVITIES,V000975974
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,CROMPTON HOUSE CHURCH OF ENGLAND SCHOOL,01/02/2016,8400.00,INDEPENDENT UNITS,V000977014
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,01/02/2016,4668.90,ACTIVITIES,V000975967
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,E MARLAND CHILDRENS RESPITE CARE LIMITED,01/02/2016,512.00,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000977058
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,E MARLAND CHILDRENS RESPITE CARE LIMITED,01/02/2016,512.00,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000977061
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,E MARLAND CHILDRENS RESPITE CARE LIMITED,01/02/2016,512.00,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000977072
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,E MARLAND CHILDRENS RESPITE CARE LIMITED,01/02/2016,512.00,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000977074
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,E MARLAND CHILDRENS RESPITE CARE LIMITED,01/02/2016,512.00,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000977085
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,E MARLAND CHILDRENS RESPITE CARE LIMITED,01/02/2016,512.00,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000977114
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,ENLIGHTENING,01/02/2016,3090.33,ACTIVITIES,V000975968
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,GODLEY COMMUNITY PRIMARY SCHOOL,01/02/2016,2400.00,INDEPENDENT UNITS,V000977039
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,GREAT SANKEY HIGH SCHOOL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977037
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,HADFIELD INFANT SCHOOL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977036
