Customer,Number of Travellers,Total Cost ex VAT,Travel Class,Travel Date,Journey Start Point,Journey Finish Point,Air Carrier
Ministry of Justice,NULL,NULL,Economy,1/6/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/6/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/7/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/11/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/11/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/11/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/11/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/12/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Premium Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/15/2011,NULL,NULL,NULL
