Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,AON45332,,Building Maintenance & Works Framework,,GENERIC,,,Building Maintenance & Works Framework,FM-BUILDING MAINTENANCE,,,,,01-Feb-15,31/01/2017,,31-Jan-19,,Estimated,�0,1-2 CALL DRAINAGE & GROUNDWORK LTD,,,1529798,,,,PROCUREMENT SOURCING TEAM,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,ALN45450A,,Recycling credits,,ETD,,,Recycling credits,WASTE-RECYCLING CREDITS,,,,,01-Mar-15,31/03/2016,,,150000,Estimated,�0,1ST DERSINGHAM SCOUT & GUIDE GROUPS,,,80240,,Y,,PROCUREMENT SOURCING TEAM,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,AXN41218,,Shop consumables,,COMMUNITY SERVICES,,,Shop consumables,RETAIL-GOODS FOR RESALE,,,,,01-Apr-13,30/09/2016,,30-Sep-16,,Estimated,�0,3D DISPLAYS LIMITED,,,65570,,,,PROCUREMENT SOURCING TEAM,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,BON40201N,,Multi provider Framework Agreement for the Provision of Training for the Early years and Childcare Workforce,,RESOURCES,,,Multi provider Framework Agreement for the Provision of Training for the Early years and Childcare Workforce,HR-TRAINING,,,,,05-Jul-12,04/07/2016,,04-Jul-16,250000,Estimated,�0,4 TRAINING & CONSULTANCY LTD,,,997840,,,,PROCUREMENT SOURCING TEAM,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,BON44787,,CF0443 4Children Lots 31 & 32 Children's Centres,,CHILDREN,,,CF0443 4Children Lots 31 & 32 Children's Centres,CHILDREN'S-CHILDREN'S CENTRES,,,,,01-Oct-12,31/03/2016,,31-Mar-16,1873065,Estimated,�0,4CHILDREN (TRADING) LIMITED,gb/02433565,,80253,,Y,,PROCUREMENT PART B TEAM,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,BAN10454,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,01-Apr-12,,,,,Estimated,�0,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,,,PROCUREMENT PART B TEAM,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,BAN43426,,Spot Purchased Day Care For Adults (Point House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Point House),ADULT CARE-DAY/COMMUNITY/WORK SUPPORT,,,,,01-Jan-00,,,,,Estimated,�0,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,,,PROCUREMENT PART B TEAM,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,BAN10627,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,ADULT CARE-NURSING & RESIDENTIAL,,,,,01-Apr-12,,,,,Estimated,�0,MR & MRS A BUTCHERS T/A INWOOD HOUSE,,,586494,,,,PROCUREMENT PART B TEAM,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,GUN36045A,,Hand & power tools - local arrangement,,ETD,,,Hand & power tools - local arrangement,TOOLS & HARDWARE-PURCHASE & MAINTENANCE,,,,,01-Apr-09,,,,5346,Estimated,�0,A & K SUPPLIES,,,108187,,,,PROCUREMENT SOURCING TEAM,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,23/09/2015,BXN44912D,,Private Voluntary Independent School Pre-school & Playgroup,,CHILDREN,,,Private Voluntary Independent School Pre-school & Playgroup,CHILDREN'S-PLAYGROUPS & NURSERIES,,,,,,,,,,Estimated,�0,A ALMOND,,,1170776,,,,PROCUREMENT PART B TEAM,partb@norfolk.gov.uk,
