"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","AO","21850","23800","Legal Support Officer","10.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","EO","25290","30000","Legal Officer","8.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","G6","61200","75200","Senior Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","G7","48400","61000","Legal Adviser","7.61","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","HEO","29550","35000","Legal Manager","10.50","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","SEO","36250","43000","Legal Manager","5.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal","38","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Constitutional Law","40","G6","61200","75200","Senior Legal Adviser","3.58","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Constitutional Law","40","G7","48400","61000","Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Corporate & Government Services","41","G6","61200","75200","Senior Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Corporate & Government Services","41","G7","48400","61000","Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Corporate & Government Services","41","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - General Policy & National Security","39","G6","61200","75200","Senior Legal Adviser","4.31","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - General Policy & National Security","39","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - General Policy & National Security","39","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Wales Office Legal Advisers","150","G6","61200","75200","Senior Legal Adviser","0.89","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group","49","EO","25290","30000","Operational Officer","1.40","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group","49","G7","48400","61000","Operational Team Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group","49","SEO","36250","43000","Operational Manager","2.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","EO","25290","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","G6","61200","75200","Senior Legal Adviser","5.38","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","G7","48400","61000","Legal Adviser","9.70","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","EO","25290","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","G6","61200","75200","Senior Legal Adviser","5.60","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","G7","48400","61000","Legal Adviser","8.58","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DH","52","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DH","52","G6","61200","75200","Senior Legal Adviser","9.21","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DH","52","G7","48400","61000","Legal Adviser","7.76","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DH","52","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DH","52","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","G6","61200","75200","Senior Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","G7","48400","61000","Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","LO","42420","42420","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","PS","22560","24260","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","G6","61200","75200","Senior Legal Adviser","5.20","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","G7","48400","61000","Legal Adviser","9.40","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","G6","61200","75200","Senior Legal Adviser","10.60","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","G7","48400","61000","Legal Adviser","7.30","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","EO","25290","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","G6","61200","75200","Senior Legal Adviser","13.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","G7","48400","61000","Legal Adviser","16.01","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","AO","21850","23800","Operational Support Officer","15.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","EO","25290","30000","Operational Officer","23.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","G6","61200","75200","Operational Team Manager","3.72","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","G7","48400","61000","Operational Team Manager","3.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","HEO","29550","35000","Operational Manager","33.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","SEO","36250","43000","Operational Manager","2.50","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","EO","25290","30000","PMO Team","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","EO","25290","30000","Project Support","2.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G6","61200","75200","Business Analyst","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G6","61200","75200","Developer","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G6","61200","75200","Programme Manager","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G6","61200","75200","Project Delivery Team","3.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G6","61200","75200","Project Manager","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","Business Analyst","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","Business Change Manager","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","PMO Lead","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","Product Manager","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","Project Manager","3.97","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Business Analyst","2.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Developer","4.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","PMO Team","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Project Delivery Team","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Project Support","2.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Project Support","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Tester","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","SEO","36250","43000","Business Analyst","4.67","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","SEO","36250","43000","Change Manager","2.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","SEO","36250","43000","Project Manager","2.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","127","EO","25290","30000","Communications Officer","1.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","127","G6","61200","75200","Communications Team Manager","1.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","127","G7","48400","61000","Communications Team Manager","1.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","127","HEO","29550","35000","Communications Manager","1.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","127","SEO","36250","43000","Communications Manager","2.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","AO","21850","23800","Finance Support Officer","9.00","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","EO","25290","30000","Finance Officer","9.60","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","G6","61200","75200","Finance Team Manager","2.00","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","G7","48400","61000","Finance Team Manager","2.00","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","HEO","29550","35000","Finance Manager","6.89","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","SEO","36250","43000","Finance Manager","7.00","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Governance","127","AO","21850","23800","Governance Support Officer","1.00","Planning"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Governance","127","G6","61200","75200","Governance Team Manager","1.54","Planning"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Governance","127","HEO","29550","35000","Governance Manager","2.67","Planning"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","AO","21850","23800","HR Support Officer","11.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","EO","25290","30000","HR Officer","12.60","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","G6","61200","75200","HR Team Manager","1.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","G7","48400","61000","HR Business Partner","3.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","G7","48400","61000","HR Team Manager","4.30","Human Resources"
