Department Family,Entity,Date,Expenses Type,ense Area, Supplier ,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000542243," 67,984.19 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000542230," 65,416.77 "
Department of Health,The Christie NHS Foundation Trust,31/01/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000542461," 2,794,299.90 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,PET Scans - Nov 16,Christie Medical Physics, ALLIANCE MEDICAL RADIOPHARMACY LIMITED ,0000541580," 38,699.16 "
Department of Health,The Christie NHS Foundation Trust,26/01/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000542473," 30,496.80 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000537819," 387,708.61 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000541004," 51,570.00 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000541005," 40,546.19 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000541009," 41,266.04 "
Department of Health,The Christie NHS Foundation Trust,03/01/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000543233," 280,173.00 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Medical Equipment,Capital, BK MEDICAL ,0000541935," 98,358.00 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,PET Scans - Nov 16,Christie Medical Physics, CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR ,0000541800," 113,417.00 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,PET Scans - Oct 16,Christie Medical Physics, CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR ,0000540929," 93,492.00 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000533884,"-328,056.92 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Medical Equipment Maintenace Contract,Christie Pathology Partnership, CPP FACILITIES LLP ,0000538615," 171,277.16 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000541198," 171,277.16 "
Department of Health,The Christie NHS Foundation Trust,05/01/2017,Print Management Fee,Finance & Business Development, DANWOOD GROUP LTD ,0000540414," 89,999.95 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Drugs,Drugs, EAST CHESHIRE NHS TRUST ,0000540902," 119,396.65 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Subscription,School of Oncology, ELSEVIER LTD ,0000542166," 26,735.08 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Drugs,Drugs, EVOLUTION HOMECARE SERVICES LTD ,0000542547," 28,038.00 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Drugs,Drugs, EVOLUTION HOMECARE SERVICES LTD ,0000542245," 36,620.00 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Childcare Vouchers,Human Resources, FIDELITI LIMITED ,0000541445," 32,462.60 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Building Works,Capital, HELIX ROOFING CONTRACTORS LTD ,0000540464," 124,275.41 "
