PLACE-REF,Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,CHARITY-RLF-,ANALYSIS-CD,RV,SURNAME,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV
2462031069,,6240,O,0,,0,0,0,,0,,0,0,CG1,13000, ALLENS AUTO SERVICES LTD,,,,,,,01/03/2007,DEMMINGS ROAD,CHEADLE,,,,SK8 2PE,VEHICLE REPAIR WORKSHOP AND PREMISES
3496017009,,2160,O,0,,-1,0,2160,,0,,0,0,CO,4500, B K F CAREFORM LTD,17 GREENWAY ROAD,HEALD GREEN,CHEADLE,,,SK8 3NR,09/12/1994,17 GREENWAY ROAD,HEALD GREEN,CHEADLE,,,SK8 3NR,OFFICES AND PREMISES
3370191019,,936,O,0,,0,0,0,,0,,0,0,CW,1950, E W HEWITT LTD,193 GATLEY ROAD,GATLEY,CHEADLE,,,SK8 4BB,01/04/1990,STORE REAR OF,191 GATLEY ROAD,CHEADLE,,,SK8 4BB,STORE AND PREMISES
3370193009,RETAIL,5520,O,0,,0,0,0,,0,,0,0,CS,11500, E W HEWITT LTD,193 GATLEY ROAD,GATLEY,CHEADLE,,,SK8 4BB,01/04/1990,191-193 GATLEY ROAD,CHEADLE,,,,SK8 4BB,SHOP AND PREMISES
3520053019,,900,V,924.38,MINRV,0,24.38,0,,0,,0,0,IF3,1875, F ROBINSON LTD,UNICORN BREWERY,LOWER HILLGATE,STOCKPORT,,,SK1 1JJ,25/03/2006,GROSVENOR GARAGE,GROSVENOR STREET,HAZEL GROVE,STOCKPORT,,SK7 4AX,WORKSHOP AND PREMISES
3200038059,,588,O,0,,-1,0,588,,0,,0,0,CW,1225, J GOODWINN & SONS,5 PADDOCK LANE,FAILSWORTH,NR MANCHESTER,,,M35 0NX,01/04/1990,STORE REAR OF,38 FOXLAND ROAD,GATLEY,CHEADLE,,SK8 4QB,STORE AND PREMISES
7454058019,,1488,O,0,,-1,0,1488,,0,,0,0,CS,3100, M THORLEY ( BUTCHERS) LTD,,,,,,,01/04/1990,58 STOCKPORT ROAD,ROMILEY,STOCKPORT,,,SK6 3AA,SHOP AND PREMISES
7376022099,,2976,O,0,,-1,0,2876.8,,0,,0,0,CO,6200, N&N PROPERTIES LTD,,,,,,,24/03/2010,1ST & 2ND FLOOR 22C,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 7AB,OFFICES AND PREMISES
7415009009,,6360,O,0,,-1,0,0,,0,,0,0,IF3,13250, P D PUMPS LTD,,,,,,,30/07/1999,UNIT 8,STUART ROAD,BREDBURY,STOCKPORT,,SK6 2SR,WORKSHOP AND PREMISES
4117009009,,2016,O,0,,-1,0,2016,,0,,0,0,CS,4200, P J CARROLL RESIDENTIAL LTD,,,,,,,01/04/2005,9 HYDE ROAD,WOODLEY,STOCKPORT,,,SK6 1QG,SHOP AND PREMISES
7376000659,,168,O,0,,0,0,0,,0,,0,0,CP1,350, P K W FOODS LTD T/A SUBWAY,9 THE GERRARDS,GEE CROSS,HYDE,,,SK14 5GB,08/01/2015,CAR SPACE 55,SINCLAIR HOUSE,STATION ROAD,CHEADLE HULME,CHEADLE,SK8 5AF,CAR PARKING SPACE
7884006109,RETAIL,6000,O,0,,0,0,0,,0,,0,0,CS,12500, P K W FOODS LTD T/A SUBWAY,9 THE GERRARDS,GEE CROSS,HYDE,,,SK14 5GB,08/01/2015,6 THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,SHOP AND PREMISES
5594026009,,13800,O,0,,0,373.75,0,,0,,0,0,IF3,28750, R W JOINERY LTD,UNITS 25/26 PORTWOOD IND EST,MERSEY STREET,PORTWOOD,STOCKPORT,,SK1 2HX,01/04/1990,UNIT 25-26,PORTWOOD INDUSTRIAL ESTATE,MERSEY STREET,PORTWOOD,STOCKPORT,SK1 2HX,WORKSHOP AND PREMISES
5594999049,,2280,O,0,,0,0,0,,0,,0,0,IF3,4750, R W JOINERY LTD,UNITS 25/26 PORTWOOD IND EST,MERSEY STREET,PORTWOOD,STOCKPORT,,SK1 2HX,24/08/2002,UNIT 24A,PORTWOOD INDUSTRIAL ESTATE,MERSEY STREET,PORTWOOD,STOCKPORT,SK1 2HX,WORKSHOP AND PREMISES
3384005009,,3312,O,0,,-1,0,2815.23,,0,,0,0,CO,6900,08 UK LTD,,,,,,,14/11/2011,OFFICE 1 AT,5 GIBSONS ROAD,HEATON MOOR,STOCKPORT,,SK4 4JX,OFFICES AND PREMISES
4966079019,,5852.46,O,0,,0,158.5,0,,0,,0,0,CS7,18750,1 FIX GARAGES LIMITED,,,,,,,07/08/2015,79 LANCASHIRE HILL,STOCKPORT,,,,SK4 1UB,SHOWROOM AND PREMISES
5208001219,,20640,O,0,,0,559,0,,0,,0,0,IF3O,43000,121 DIRECT MAIL LTD,,,,,,,30/06/2006,UNIT 18,CHARTER HOUSE,LATHAM CLOSE,BREDBURY,STOCKPORT,SK6 2SD,"WORKSHOP, OFFICE AND PREMISES"
3500313019,,8280,V,0,,0,224.25,0,,0,,0,0,IF,17250,1996 CARRARA LTD RETIREMENT PENSION BENE,76 HILLTOP AVENUE,CHEADLE HULME,CHEADLE,,,SK8 7AJ,31/05/2014,HOLLY HOUSE,313 GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7BP,WORKS AND PREMISES
6501014019,,1224,O,0,,-1,0,1224,,0,,0,0,IF3,2550,1ST STOP TICKETING LTD,,,,,,,21/10/1996,14A PITT STREET,EDGELEY,STOCKPORT,,,SK3 9EH,WORKSHOP AND PREMISES
3500343009,,16440,O,0,,0,445.25,0,,0,,0,0,IF3O,34250,20TH CENTURY FIRES LTD,,,,,,,17/01/2006,VESTA WORKS,GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7BS,"WORKSHOP, OFFICES  AND PREMISES"
6426007009,,8760,O,0,,0,237.25,0,,0,,0,0,CS,18250,20TH CENTURY STORES,,,,,,,09/01/2015,27 MARKET PLACE & 1-7 PARK STREET,STOCKPORT,,,,SK1 1EZ,SHOP AND PREMISES
3817033259,,5280,O,0,,-1,0,880,,0,,0,0,IF3,11000,3 P PAINT CO (STOCKPORT) LTD,,,,,,,01/04/1990,HALLAM ST WORKS,HALLAM STREET,HEAVILEY,STOCKPORT,,SK2 6PT,WORKSHOP AND PREMISES
1733100009,,5640,O,0,,-1,0,232.53,,0,,0,0,MH,11750,32 WHITES LTD,,,,,,,01/04/1990,100-102 CHURCH LANE,MARPLE,STOCKPORT,,,SK6 7AR,SURGERY AND PREMISES
826003019,,1896,O,0,,-1,0,1896,,0,,0,0,CO,3950,360 REMARKETING LTD,476 DIDSBURY ROAD,HEATON MERSEY,STOCKPORT,,,SK4 3BS,01/04/2010,1ST FLOOR,5 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,SK7 1AL,OFFICES AND PREMISES
8358364019,,2691.15,V,0,,0,72.89,0,,0,,0,0,CX,13500,388 CARS LTD,21 HAWTHORN GROVE,HEATON MOOR,STOCKPORT,,,SK4 4HZ,01/08/2015,364-366 WELLINGTON ROAD NORTH,STOCKPORT,,,,SK4 4QP,CAR SALES LAND & PREMISES
715003529,,792,O,0,,-1,0,792,,0,,0,0,CO,1650,3EF LTD,85 OAK ROAD,CHEADLE,,,,SK8 1EJ,11/11/2014,BLOCK 44 G9,EUROPA BUSINESS PARK,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,SK3 0RT,OFFICES AND PREMISES
2751000619,,4800,O,0,,-1,0,1600,,0,,0,0,CO,10000,4 C SONS LTD,PT GND FLR CHANDOS HOUSE,OAK GREEN STANLY GREEN BUSINESS PARK,EARL ROAD,CHEADLE HULME,CHEADLE,SK8 6QL,01/07/2013,PT GND FLR CHANDOS HOUSE,OAK GREEN STANLY GREEN BUSINESS PARK,EARL ROAD,CHEADLE HULME,CHEADLE,SK8 6QL,OFFICES AND PREMISES
