ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,10/10/2017,NEIGHBOURHOODS AND ENVIRONMENT,HEIL EUROPE LTD,10/10/2017,983.62 ,VEHICLE MAINTENANCE,V001135495
ROCHDALE BOROUGH COUNCIL,10/10/2017,NEIGHBOURHOODS AND ENVIRONMENT,HEIL EUROPE LTD,10/10/2017,600.00 ,VEHICLE MAINTENANCE,V001135496
ROCHDALE BOROUGH COUNCIL,17/10/2017,NEIGHBOURHOODS AND ENVIRONMENT,RED ROSE TRAINING (BOLTON) LIMITED,17/10/2017,862.50 ,EQUIPMENT - GENERAL,V001158972
ROCHDALE BOROUGH COUNCIL,13/10/2017,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,13/10/2017,3900.00 ,TRANSACTIONS-EXPENDITURE,V001158997
ROCHDALE BOROUGH COUNCIL,26/10/2017,PROPERTY AND HIGHWAYS,PRIME ROOFING ROCHDALE LIMITED,26/10/2017,980.00 ,TRANSACTIONS-EXPENDITURE,V001159076
ROCHDALE BOROUGH COUNCIL,26/10/2017,PROPERTY AND HIGHWAYS,PRIME ROOFING ROCHDALE LIMITED,26/10/2017,1620.00 ,TRANSACTIONS-EXPENDITURE,V001159076
ROCHDALE BOROUGH COUNCIL,31/10/2017,LEARNING DIS & MENTAL HEALTH,PENNINE CARE NHS,31/10/2017,9250.00 ,RENTS,V001159150
ROCHDALE BOROUGH COUNCIL,11/10/2017,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,11/10/2017,4950.00 ,EQUIPMENT - GENERAL,V001161165
ROCHDALE BOROUGH COUNCIL,17/10/2017,PHYSICAL DIS & OLDER PEOPLE,K P DODD CONSTRUCTION LIMITED,17/10/2017,2178.00 ,MINOR BUILDING WORKS,V001161303
ROCHDALE BOROUGH COUNCIL,24/10/2017,PUBLIC HEALTH,KILLGERM CHEMICALS LIMITED,24/10/2017,512.98 ,EQUIPMENT - GENERAL,V001161371
