ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEYWOOD TOTTINGTON LIMITED,20/01/2017,629.56 ,RESIDENTIAL LONG TERM,V001086470
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEYWOOD TOTTINGTON LIMITED,20/01/2017,629.56 ,RESIDENTIAL LONG TERM,V001086471
ROCHDALE BOROUGH COUNCIL,18/01/2017,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,18/01/2017,-575.00 ,TRANSACTIONS-EXPENDITURE,V001080203
ROCHDALE BOROUGH COUNCIL,18/01/2017,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,18/01/2017,-575.00 ,TRANSACTIONS-EXPENDITURE,V001080204
ROCHDALE BOROUGH COUNCIL,26/01/2017,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,26/01/2017,575.00 ,TRANSACTIONS-EXPENDITURE,V001080192
ROCHDALE BOROUGH COUNCIL,18/01/2017,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,18/01/2017,750.00 ,TRANSACTIONS-EXPENDITURE,V001080194
ROCHDALE BOROUGH COUNCIL,05/01/2017,PUBLIC HEALTH,ACORN RECOVERY PROJECTS,05/01/2017,1316.43 ,CONTRACTED SERVICES,V001081088
ROCHDALE BOROUGH COUNCIL,31/01/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,31/01/2017,1050.00 ,FEES / COMMISSION,V001089883
ROCHDALE BOROUGH COUNCIL,31/01/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,31/01/2017,2450.00 ,FEES / COMMISSION,V001089881
ROCHDALE BOROUGH COUNCIL,12/01/2017,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,12/01/2017,2117.50 ,MINOR BUILDING WORKS,V001084593
ROCHDALE BOROUGH COUNCIL,12/01/2017,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,12/01/2017,2117.50 ,MINOR BUILDING WORKS,V001084593
ROCHDALE BOROUGH COUNCIL,12/01/2017,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,12/01/2017,2270.00 ,TRANSACTIONS-EXPENDITURE,V001084599
ROCHDALE BOROUGH COUNCIL,12/01/2017,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,12/01/2017,2270.00 ,TRANSACTIONS-EXPENDITURE,V001084599
ROCHDALE BOROUGH COUNCIL,23/01/2017,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,23/01/2017,4263.00 ,ACTIVITIES,V001081109
ROCHDALE BOROUGH COUNCIL,09/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,09/01/2017,663.62 ,VEHICLE MAINTENANCE,V001082439
ROCHDALE BOROUGH COUNCIL,20/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,20/01/2017,2757.34 ,VEHICLE MAINTENANCE,V001084923
ROCHDALE BOROUGH COUNCIL,05/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,05/01/2017,23231.16 ,DEMOLITION,V001080789
ROCHDALE BOROUGH COUNCIL,11/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,11/01/2017,10000.00 ,SITE INVESTIGATION,V001080840
ROCHDALE BOROUGH COUNCIL,31/01/2017,FINANCE SERVICES,AGILE APPLICATIONS LTD,31/01/2017,1250.00 ,SOFTWARE,V001087009
ROCHDALE BOROUGH COUNCIL,20/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,20/01/2017,-44717.35 ,AGILISYS CONTRACT,V001082949
ROCHDALE BOROUGH COUNCIL,05/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,05/01/2017,3946.12 ,AGILISYS CONTRACT,V001072397
ROCHDALE BOROUGH COUNCIL,05/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,05/01/2017,3946.13 ,AGILISYS CONTRACT,V001072397
ROCHDALE BOROUGH COUNCIL,09/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,09/01/2017,28505.33 ,AGILISYS CONTRACT,V001073990
ROCHDALE BOROUGH COUNCIL,20/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,20/01/2017,76459.43 ,AGILISYS CONTRACT,V001076888
ROCHDALE BOROUGH COUNCIL,05/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,05/01/2017,93851.74 ,AGILISYS CONTRACT,V001072398
ROCHDALE BOROUGH COUNCIL,16/01/2017,EARLY HELP AND SCHOOLS,ALDER GRANGE SCHOOL,16/01/2017,1200.00 ,INDEPENDENT UNITS,V001085031
ROCHDALE BOROUGH COUNCIL,13/01/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,13/01/2017,11544.82 ,HOME CARE - ADULT SERVICES,V001084731
ROCHDALE BOROUGH COUNCIL,19/01/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,19/01/2017,11631.26 ,HOME CARE - ADULT SERVICES,V001087108
ROCHDALE BOROUGH COUNCIL,26/01/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,26/01/2017,11777.86 ,HOME CARE - ADULT SERVICES,V001089159
ROCHDALE BOROUGH COUNCIL,05/01/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,05/01/2017,11816.58 ,HOME CARE - ADULT SERVICES,V001081197
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,06/01/2017,11962.49 ,HOME CARE - ADULT SERVICES,V001081286
ROCHDALE BOROUGH COUNCIL,24/01/2017,FINANCE SERVICES,ALONGSIDE,24/01/2017,3056.00 ,TRAINING,V001087746
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,20/01/2017,127051.58 ,INDIVIDUAL SERVICE FUND,V001088453
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,-806.40 ,PERSONAL BUDGETS - MANAGED,V001083293
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,-806.40 ,PERSONAL BUDGETS - MANAGED,V001083295
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,-806.40 ,PERSONAL BUDGETS - MANAGED,V001083296
