year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2011,LOCAL,ADEL AND WHARFEDALE,CARTER,Les,Conservative Party [The],4144,,ELECTED,15862
2011,LOCAL,ADEL AND WHARFEDALE,MARCHANT,Paul Richard,Green Party [The],337,,,15862
2011,LOCAL,ADEL AND WHARFEDALE,SHAW,Christina,Liberal Democrats,1758,,,15862
2011,LOCAL,ADEL AND WHARFEDALE,WILSON-SHARP,Claire,United Kingdom Independence Party,315,,,15862
2011,LOCAL,ALWOODLEY,COHEN,Dan,Conservative Party [The],4254,,ELECTED,17634
2011,LOCAL,ALWOODLEY,HENDON,Warren,United Kingdom Independence Party,547,,,17634
2011,LOCAL,ALWOODLEY,JACKSON,Brian,Alliance for Green Socialism,351,,,17634
2011,LOCAL,ALWOODLEY,SIAN,Katy,Labour Party [The],2827,,,17634
2011,LOCAL,CHAPEL ALLERTON,DAVIES,Mike,Alliance for Green Socialism,502,,,17197
2011,LOCAL,CHAPEL ALLERTON,MYERS,David Bernard,Conservative Party [The],868,,,17197
2011,LOCAL,CHAPEL ALLERTON,NOBLE,Colin Lindsay,Green Party [The],484,,,17197
2011,LOCAL,CHAPEL ALLERTON,RAFIQUE,Mohammed,Labour Party [The],4121,,ELECTED,17197
2011,LOCAL,CHAPEL ALLERTON,SLACK,Adam,Liberal Democrats,501,,,17197
2011,LOCAL,CITY AND HUNSLET,AZIZ,Jahangir,Liberal Democrats,1047,,,20784
2011,LOCAL,CITY AND HUNSLET,DAVEY,Patrick Gerard,Labour Party [The],3230,,ELECTED,20784
2011,LOCAL,CITY AND HUNSLET,WHARTON,Matthew Peter,Conservative Party [The],877,,,20784
2011,LOCAL,GIPTON AND HAREHILLS,GREENWOOD,Beatrice,Conservative Party [The],462,,,15765
2011,LOCAL,GIPTON AND HAREHILLS,HUSSAIN,Arif,Labour Party [The],4805,,ELECTED,15765
2011,LOCAL,GIPTON AND HAREHILLS,IQBAL,Azar,Alliance for Green Socialism,220,,,15765
2011,LOCAL,GIPTON AND HAREHILLS,KHAN,Qadeer,Liberal Democrats,506,,,15765
2011,LOCAL,HEADINGLEY,ANNESLEY,Christina,Conservative Party [The],370,,,15169
2011,LOCAL,HEADINGLEY,FOREN,Christopher Mark,Green Party [The],682,,,15169
2011,LOCAL,HEADINGLEY,MONAGHAN,James,Liberal Democrats,1098,,,15169
2011,LOCAL,HEADINGLEY,MORGAN,Peter,United Kingdom Independence Party,39,,,15169
