Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"Luddendenfoot Bowling Club, Tillotson Holme, Luddendenfoot, Halifax              HX2 6AF",64476700,,2900,Bowling Club And Premises,Flood Relief Application 2015/16
,"Unit 1, Wood Street, Brighouse, HD6 1PW",29648700,,7000,Workshop And Premises,Flood Relief Application 2015/16
Hartleys Confectioners Ltd,"104a Briggate, Brighouse, HD6 1EL",29100706,"109 Lidget Street, Lindley, Huddersfield, HD3 3JR",2550,Shop and Premises,Flood Relief Application 2015/16
Director Of Safer & Stronger Communities,"Adj 67 Rustic, Piece Hall, Halifax, HX1 1RE",68252724,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",4750,Shop and Premises,Listed Building
,"Unit 30, Mill House Works, Mill House Lane, Triangle            HX6 3LN",77352714,,1750,Garage And Premises,Flood Relief Application 2015/16
,"21 Halifax Road, Todmorden, OL14 5AG",78192021,,5500,Shop and Premises,Flood Relief Application 2015/16
,"Holme Street Arts Centre, Holme Street, Hebden Bridge, HX7 8EE",76292701,,4350,Community Centre And Premises,Flood Relief Application 2015/16
,"28 Market Street, Hebden Bridge, HX7 6AA",76360028,,5300,Office (And Premises),Flood Relief Application 2015/16
,"2 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408002,,2400,Shop and Premises,Flood Relief Application 2015/16
,"22 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408020,,1075,Surgery And Premises,Flood Relief Application 2015/16
Westgate Wine & Cheese Company Ltd,"4 St Georges Square, Hebden Bridge, HX7 8ET",76508004,,14500,Cafe and Premises,Flood Relief Application 2015/16
,"Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",76508703,,16500,Shop and Premises,Flood Relief Application 2015/16
Halifax Wireform Co Ltd,"Calder Mill, Stubbing Holme, Hebden Bridge, HX7 6LQ",76524701,"Calder Mill, Stubbing Holme Road, Hebden Bridge, West Yorks, HX7 6LJ",9100,Offices and Premises,Flood Relief Application 2015/16
,"19a School Lane, Todmorden, OL14 5AP",78412701,,2800,Shop and Premises,Flood Relief Application 2015/16
,"21 Water Street, Todmorden, OL14 5AB",78508021,,3550,Shop and Premises,Flood Relief Application 2015/16
,"Unit 2, New Oxford House, Albert Street, Hebden Bridge       HX7 8AH",76012720,,6700,Offices and Premises,Flood Relief Application 2015/16
Vale Upholstery Ltd,"Unit 1, Green Hill Industrial Estate, Mytholmroyd, Hebden Bridge       HX7 5QF",76088725,"Unit 1, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge, HX7 5QF",89000,Factory and Premises,Flood Relief Application 2015/16
,"Constitutional Club, 6 Albert Street, Hebden Bridge, HX7 8AH",76012712,,5100,Club and Premises,Flood Relief Application 2015/16
Saker Vegetarian Foods Ltd,"Unit 2B, Canteen Mill Ind. Units, Burnley Road, Todmorden           OL14 7DR",78076743,"Unit 2B, Canteen Mill Industrial Units, Burnley Road, Todmorden, OL14 7DR",6000,Workshop And Premises,Flood Relief Application 2015/16
Oasis (Hebden Bridge) Ltd,"Carlton Street, Hebden Bridge, HX7 8ES",76176707,,31000,Shop and Premises,Flood Relief Application 2015/16
,"Basement Carlton Hotel, Crown Street, Hebden Bridge, HX7 8EH",76176722,,10700,Public House and Premises,Flood Relief Application 2015/16
Monte Carlo Cafe,"1st 2nd & 3rd Floors, 19 Crossley Street, Halifax, HX1 1UG",64748705,"19 Crossley Street, Halifax, HX1 1UG",2475,Store And Premises,Listed Building
,"40 Market Street, Hebden Bridge, HX7 6AA",76360040,,3250,Shop and Premises,Flood Relief Application 2015/16
John David Group Plc,"10 Corn Market, Halifax, HX1 1TH",64688010,"Hollinsbrook Way, Pilsworth, Bury, Lancs., BL9 8RR",28500,Shop and Premises,Empty Relief - Post 01/04/2008
A Big Store.Com,"Unit 3, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",76224711,,4650,Workshop And Premises,Flood Relief Application 2015/16
,"Exley Gardens, Halifax, HX3 9EE",65048700,,1175,Shop and Premises,Rateable Value below threshold
Calderdale Mbc,"48 Arcade, Piece Hall, Halifax, HX1 1RE",68252771,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2475,Shop and Premises,Listed Building
Calderdale Mbc Community Services,"57 Arcade, Piece Hall, Halifax, HX1 1RE",68252764,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",1000,Store And Premises,Listed Building
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 9, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388709,"Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",1250,Office,Rateable Value below threshold
Cullingworth Commercials & Freight Services Ltd,"Mezzanine 0FFICE 10, Westercroft Lane, Halifax, HX3 7TY",69388710,"Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",1250,Office,Rateable Value below threshold
Calderdale Mbc Adults Health And Social Care,"Council Offices, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",77276709,"Attn Janet Green, 1 Park Road, Halifax, HX1 2TU",12250,Offices and Premises,Empty Relief - Post 01/04/2008
Heathleigh Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220770,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",335,Workshop And Premises,Rateable Value below threshold
J Speak & Co Ltd,"Unit 3, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772724,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4300,Workshop And Premises,Empty Relief - Post 01/04/2008
Eco Heat & Power Ltd,"2 Sandbed, Halifax Road, Hebden Bridge, HX7 6PT",76456002,,5400,Store And Premises,Flood Relief Application 2015/16
Everything Everywhere Ltd,"Telecommunication Mast, Ref WYK70402 Ainley Bottom, Huddersfield Road, Elland               HX5 9JP",56132836,"C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",2800,Communication Station and Premises,Unoccupied Land
Enduring Enterprises Ltd,"10 Bradford Road, Brighouse, HD6 1RW",29080010,"C/O Jones Lang Lasalle, Fao David Griffin Esq, 25 Bank Street, London, E14 5EG",11500,Offices and Premises,Listed Building
Dean Clough Ltd,"Office Suite D101/103, Dean Clough Mills, Halifax, HX3 5AX",64788839,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",6500,Offices and Premises,Listed Building
Blazing Saddles Ltd,"35 West End, Hebden Bridge, HX7 8UQ",76576035,,7200,Shop and Premises,Flood Relief Application 2015/16
