Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Corporate Management,Supplies and Services,1701/34003,Audit Fee,34003,05/01/2017,inv0036549,10456.50,General Fund,KPMG LLP,26988
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1914/10004,Rechargeable Repairs & Maintenance,10004,05/01/2017,inv0036582,44.30,General Fund,Water Hygiene Services,18131
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1923/10004,Rechargeable Repairs & Maintenance,10004,05/01/2017,inv0036582,44.30,General Fund,Water Hygiene Services,18131
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1915/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,9.68,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1915/14002,Environmental Service Charge,14002,05/01/2017,inv0036606,21.56,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1919/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,150.02,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1919/14002,Environmental Service Charge,14002,05/01/2017,inv0036606,268.02,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1922/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,10.97,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1922/14002,Environmental Service Charge,14002,05/01/2017,inv0036606,23.04,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1923/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,57.32,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Environment,Premises,1923/14002,Environmental Service Charge,14002,05/01/2017,inv0036606,101.57,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Grants Bequests and Donations,1101,Planning,Supplies and Services,1001/37101,Grants General,37101,05/01/2017,inv0036318,9025.00,General Fund,Citizens Advice Ryedale,17451
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Corporate Services,Supplies and Services,1021/35104,Software Charges,35104,05/01/2017,inv0036533,475.00,General Fund,A C S Ltd,17839
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Corporate Management,Supplies and Services,1021/35104,Software Charges,35104,05/01/2017,inv0036553,417.83,General Fund,Integrated Document Solutions (IDS),18255
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Corporate Management,Supplies and Services,1023/35104,Software Charges,35104,05/01/2017,inv0036553,668.51,General Fund,Integrated Document Solutions (IDS),18255
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Corporate Management,Supplies and Services,1024/35104,Software Charges,35104,05/01/2017,inv0036553,167.13,General Fund,Integrated Document Solutions (IDS),18255
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Corporate Management,Supplies and Services,1021/34003,Audit Fee,34003,05/01/2017,inv0036549,1012.50,General Fund,KPMG LLP,26988
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Open Spaces,1202,Environment,Premises,1112/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,7.11,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Environment,Premises,1122/10001,Premises Rep.& Maint.-Out.Contractor,10001,05/01/2017,inv0036582,44.30,General Fund,Water Hygiene Services,18131
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Environment,Premises,1122/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,9.68,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Environment,Premises,1122/14002,Environmental Service Charge,14002,05/01/2017,inv0036606,21.56,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34105,Waste Disposal Service,34105,05/01/2017,inv0036544,2286.20,General Fund,Elleteq Limited,17830
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Premises,1323/12001,Rents (Premises Only),12001,05/01/2017,inv0036581,4975.00,General Fund,R Yates & Sons Ltd,17522
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Premises,1323/12001,Rents (Premises Only),12001,05/01/2017,inv0036532,8250.00,General Fund,R Yates & Sons Ltd,17522
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34105,Waste Disposal Service,34105,05/01/2017,inv0036603,399.85,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34105,Waste Disposal Service,34105,05/01/2017,inv0036583,29.24,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34105,Waste Disposal Service,34105,05/01/2017,inv0036584,293.10,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34105,Waste Disposal Service,34105,05/01/2017,inv0036583,528.54,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34105,Waste Disposal Service,34105,05/01/2017,inv0036602,261.32,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34107,Hired Services - General,34107,05/01/2017,inv0036583,5780.03,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34107,Hired Services - General,34107,05/01/2017,inv0036603,5898.04,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34107,Hired Services - General,34107,05/01/2017,inv0036586,5898.04,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Environment,Supplies and Services,1325/34107,Hired Services - General,34107,05/01/2017,inv0036585,5780.03,General Fund,Yorwaste Ltd,17527
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Supplies and Services,1343/34002,Consultants,34002,05/01/2017,inv0036527,431.93,General Fund,Ark Givendale Ltd,23747
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Premises,1346/11002,Energy-Electricy,11002,05/01/2017,inv0036599,19.83,General Fund,npower Ltd,18956
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Premises,1346/11002,Energy-Electricy,11002,05/01/2017,inv0036600,49.39,General Fund,npower Ltd,18956
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Premises,1346/11002,Energy-Electricy,11002,05/01/2017,inv0036601,125.34,General Fund,npower Ltd,18956
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Premises,1346/10001,Premises Rep.& Maint.-Out.Contractor,10001,05/01/2017,inv0036582,487.20,General Fund,Water Hygiene Services,18131
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Premises,1346/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,101.10,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Premises,1346/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,1324.22,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Premises,1346/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,388.21,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Environment,Premises,1346/14001,Water Rates And Accounts,14001,05/01/2017,inv0036606,92.08,General Fund,Yorkshire Water Services Ltd,17526
