Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,Award Method,SME
700254,SWIFT 305 Cressex Road,Adults and Communities,Residential & Nursing Care,Buckinghamshire County Council,"£78,913.26",01/04/2009,31/03/2016,ITT,N/A
700356,SWIFT Abbey Ravenscroft Park,Adults and Communities,Residential & Nursing Care,Abbey Ravenscroft Park Ltd,"£499,910.12",01/04/2009,31/03/2016,ITT,N/A
700274,SWIFT Acacia Lodge,Adults and Communities,Residential & Nursing Care,Torrington Homes Ltd,"£98,552.82",01/04/2009,31/03/2016,ITT,N/A
700198,SWIFT Alicia Care Home,Adults and Communities,Residential & Nursing Care,Apex Care Homes ,"£48,798.26",01/04/2009,31/03/2016,ITT,N/A
5000005738,5000005738 Alina Boca,Adults and Communities,Alina Boca,Alina Boca Event Floristry,"£12,000.00",20/06/2013,31/03/2016,ITT,N/A
5000001651,5000001651 All Direcorates contract,Adults and Communities,All Direcorates contract,Dairy Crest,"£24,999.00",01/04/2012,31/03/2016,ITT,N/A
700278,SWIFT Allied Healthcare,Adults and Communities,Residential & Nursing Care,Allied Healthcare,"£101,747.48",01/04/2009,31/03/2016,ITT,N/A
5000006136,5000006136 Amin Enterprise,Adults and Communities,Amin Enterprise,Amin EnterpriSe Ltd,"£24,500.00",13/11/2013,12/11/2017,ITT,N/A
700108,SWIFT05 Anand Day Centre,Adults and Communities,Day Care,ASRA Greater London Housing Assn,"£42,603.34",01/04/2013,31/03/2016,ITT,N/A
700154,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Magicare Ltd,"£30,064.29",01/04/2009,31/03/2016,ITT,N/A
700170,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Simeon Care For Elderly Ltd,"£37,785.32",01/04/2009,31/03/2016,ITT,N/A
700193,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£46,917.02",01/04/2009,31/03/2016,ITT,N/A
700225,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£57,427.49",01/04/2009,31/03/2016,ITT,N/A
700237,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£69,269.68",01/04/2009,31/03/2016,ITT,N/A
700255,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Maison Moti Ltd,"£82,350.00",01/04/2009,31/03/2016,ITT,N/A
700268,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Leo Baeck Housing Association,"£91,997.24",01/04/2009,31/03/2016,ITT,N/A
SWIFT,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Agudas Israel Housing Assn,"£117,363.13",01/04/2009,31/03/2016,ITT,N/A
700287,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Elizabeth Fitzroy Support,"£122,457.33",01/04/2009,31/03/2016,ITT,N/A
700294,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£133,710.78",01/04/2009,31/03/2016,ITT,N/A
700567,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Jewish Care,"£192,910.23",01/04/2009,31/03/2016,ITT,N/A
700329,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£230,358.31",01/04/2009,31/03/2016,ITT,N/A
700570,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Kisharon,"£231,795.12",01/04/2009,31/03/2016,ITT,N/A
700351,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Hoffman Foundation For Autism,"£406,359.34",01/04/2009,31/03/2016,ITT,N/A
