PublicationDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,ElectionDate,TypeofElection,ElectedBodyURI,ElectedBodyLabel,ConstituencyURL,ConstituencyLabel,CandidateName,PoliticalPartyURI,PoliticalPartyLabel,VotesWon,Elected,VotesCast,SizeofElectorate,Rejected-Invalid-Votes,ElectoralServices,ReportEmail,ReportTel
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001411,Adel and Wharfedale,ANDERSON Barry John,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,4125,Elected,7093,15603,29,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001411,Adel and Wharfedale,CARTER Emma Louise,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,281,,7093,15603,29,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001411,Adel and Wharfedale,KEBEDE Cheryl,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,948,,7093,15603,29,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001411,Adel and Wharfedale,MORLEY Glenn,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),440,,7093,15603,29,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001411,Adel and Wharfedale,WRAY Paul Ian,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,1270,,7093,15603,29,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001412,Alwoodley,BUCKLEY Neil Alan,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,3443,Elected,6655,17469,42,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001412,Alwoodley,HENDON Warren,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),534,,6655,17469,42,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001412,Alwoodley,JACKSON Brian,http://search.electoralcommission.org.uk/English/Registrations/PP67,Alliance for Green Socialism,83,,6655,17469,42,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001412,Alwoodley,MOSS Miriam Leontine,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,223,,6655,17469,42,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001412,Alwoodley,PARKER Roderic,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,348,,6655,17469,42,Electoral Services,electors@leeds.gov.uk,
