DfE No.,School,Total Number of Pupils on Roll,No. of Pupils with EAL,% of Pupils with EAL
5201,All Saints' CE (VA) J & I School,212,19,9
2093,Ash Green Community Primary School,443,8,1.8
2040,Bailiffe Bridge J & I School,205,8,3.9
3321,Barkisland CE (VA) Primary School,192,1,0.5
2048,Bowling Green Primary School,160,1,0.6
2042,Carr Green Primary School,355,8,2.3
2068,Castle Hill Primary School,278,2,0.7
2084,Castlefields Infant School,157,21,13.4
2054,Central Street Infant & Nursery School,76,2,2.6
3001,Christ Church (Pellon) CE (VC) Primary School,178,32,18
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),111,1,0.9
2076,Cliffe Hill Community Primary School,213,4,1.9
2059,Colden J & I School,110,0,0
2006,Copley Primary School,233,6,2.6
2069,"Cornholme J, I & N School",207,8,3.9
2055,Cragg Vale J & I School,60,0,0
2087,Cross Lane Primary and Nursery School,307,54,17.6
2007,Dean Field Community Primary School,220,4,1.8
3318,"Elland CE (VA) J, I & N School",227,15,6.6
2003,Ferney Lee Primary School,206,53,25.7
3319,Hebden Royd CE (VA) Primary School,133,6,4.5
2058,"Heptonstall J, I & N School",114,0,0
7010,Highbury School,72,10,13.9
2050,Holywell Green Primary School,228,2,0.9
2010,Lee Mount Primary School,389,29,7.5
5204,Lightcliffe CE (VA) Primary School,420,11,2.6
2033,"Ling Bob J, I & N School",361,82,22.7
5207,Longroyde Junior School,246,43,17.5
3014,Luddenden CE School,195,4,2.1
2065,Midgley School,105,1,1
3332,Moorside Community Primary School,267,7,2.6
2066,New Road Primary School,133,4,3
3010,Norland CE (VC) J & I School,98,0,0
2015,Northowram Primary School,464,2,0.4
2075,Old Town Primary School,102,0,0
2017,Parkinson Lane Community Primary School,520,509,97.9
2001,"Rawson J, I & N School",389,36,9.3
2061,Ripponden J & I School,231,0,0
2082,Riverside Junior School,161,1,0.6
2021,Salterhebble J & I School,207,23,11.1
2009,Savile Park Primary School,249,162,65.1
2073,Shade Primary School,215,2,0.9
2060,Shelf J & I School,304,2,0.7
2095,Sowerby Village CE (VC) Primary School,153,1,0.7
3315,St Andrew's CE (VA) Infant School (Brighouse),178,4,2.2
3314,St Andrew's CE (VA) Junior School (Brighouse),233,6,2.6
3303,St Augustine's CE (VA) J & I School (Halifax),185,154,83.2
5206,St Chad's CE (VA) Primary School,213,0,0
3329,St Joseph's Catholic Primary School (Brighouse),233,6,2.6
3305,St Joseph's Catholic Primary School (Halifax),191,16,8.4
3330,St Joseph's RC Primary School (Todmorden),115,23,20
3308,St Mary's Catholic Primary School (Halifax),285,115,40.4
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),103,0,0
5202,St Michael & All Angels CE Primary School,203,0,0
3327,St Patrick's Catholic Primary School (Elland),120,6,5
2057,Stubbings Infant School,79,1,1.3
3326,"Todmorden CE (VA) J, I & N School",240,13,5.4
3013,Triangle CE (VC) Primary School,190,2,1.1
2067,Tuel Lane Infant School,139,4,2.9
5208,Walsden St Peter's CE (VC) Primary School,171,0,0
2028,Warley Road Primary School,646,535,82.8
2030,Warley Town School,132,6,4.5
5205,West Vale Primary School,181,3,1.7
2046,Withinfields Primary School,347,7,2
7008,Wood Bank School,73,29,39.7
2081,Woodhouse Primary School,422,22,5.2
,Calderdale Maintained Schools (Incl Special Schools),14585,2136,14.6
,Calderdale Maintained Schools (Excl Special Schools),14440,2097,14.5
,,,,
,Note:,,,
,Academy Data Excluded,,,
