Organisation Name,Effective Date,Service,Supplier Name,Payment Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,02/02/2015,783.58,PRINTING,V000805602
ROCHDALE BOROUGH COUNCIL,18/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,18/02/2015,8571.28,POSTAGE,V000821278
ROCHDALE BOROUGH COUNCIL,18/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,18/02/2015,7735.74,POSTAGE,V000832076
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,INTERGRATED SKILLS  LIMITED,04/02/2015,5600,CONSULTANT FEES,V000844279
ROCHDALE BOROUGH COUNCIL,17/02/2015,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,17/02/2015,-850,TRAINING,V000852142
ROCHDALE BOROUGH COUNCIL,09/02/2015,ECONOMY AND ENVIRONMENT,BRAHM FUNDCO 2 LTD,09/02/2015,6196.32,PFI SCHEMES RPI,V000857826
ROCHDALE BOROUGH COUNCIL,19/02/2015,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,19/02/2015,9470.28,TEACHERS - BASIC,V000858797
ROCHDALE BOROUGH COUNCIL,26/02/2015,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,26/02/2015,3335,TRAINING-QUALIFICATION,V000859325
ROCHDALE BOROUGH COUNCIL,02/02/2015,ECONOMY AND ENVIRONMENT,STRAIGHT PLC,02/02/2015,5112.72,PURCHASE OF OTHER EQUIPMENT,V000862221
ROCHDALE BOROUGH COUNCIL,03/02/2015,FINANCE SERVICES,GRANT THORNTON UK LLP,03/02/2015,45090,FEES / COMMISSION,V000862495
ROCHDALE BOROUGH COUNCIL,05/02/2015,PUBLIC HEALTH,GEORGE HOUSE TRUST,05/02/2015,1414.58,PH BUSINESS CASES,V000863348
ROCHDALE BOROUGH COUNCIL,10/02/2015,FINANCE SERVICES,MR CLIVE SHELDON,10/02/2015,2844,LEGAL SERVICES - SUPPORT SERVICE,V000863866
ROCHDALE BOROUGH COUNCIL,12/02/2015,ECONOMY AND ENVIRONMENT,OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,12/02/2015,1916.5,PROJECT & ACTIVITIES,V000864686
ROCHDALE BOROUGH COUNCIL,09/02/2015,PUBLIC HEALTH,PENNINE CARE NHS,09/02/2015,106845,PH PENNINE CARE CONTRACT,V000864811
ROCHDALE BOROUGH COUNCIL,09/02/2015,PUBLIC HEALTH,PENNINE CARE NHS,09/02/2015,120305,PH PENNINE CARE CONTRACT,V000864811
ROCHDALE BOROUGH COUNCIL,20/02/2015,PUBLIC HEALTH,OFFICE DEPOT UK LIMITED,20/02/2015,828.8,PUBLICITY,V000864840
ROCHDALE BOROUGH COUNCIL,05/02/2015,EARLY HELP AND SCHOOLS,FAMILY ACTION,05/02/2015,15319.36,SUBSCRIPTIONS,V000865039
ROCHDALE BOROUGH COUNCIL,09/02/2015,EARLY HELP AND SCHOOLS,REDACTED-PERSONAL DATA,09/02/2015,1214,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000865083
ROCHDALE BOROUGH COUNCIL,04/02/2015,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,04/02/2015,3217.49,FOSTER PARENTS BASIC ALLOWANCE,V000865186
ROCHDALE BOROUGH COUNCIL,05/02/2015,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,05/02/2015,12377.99,EDB PLACEMENTS,V000865637
ROCHDALE BOROUGH COUNCIL,12/02/2015,PUBLIC HEALTH,ROCHDALE & DISTRICT MIND,12/02/2015,23375,PH BUSINESS CASES,V000865885
ROCHDALE BOROUGH COUNCIL,09/02/2015,EARLY HELP AND SCHOOLS,FIRWOOD MANOR PREPARATORY SCHOOL,09/02/2015,1402.8,OTHER LA`S - SEN PROVISION,V000865912
ROCHDALE BOROUGH COUNCIL,02/02/2015,CUSTOMERS & CORPORATE SERVICES,EVERYTHING EVERYWHERE LTD,02/02/2015,693.67,TRANSACTIONS-EXPENDITURE,V000865956
ROCHDALE BOROUGH COUNCIL,04/02/2015,CHILDREN’S SOCIAL CARE,BEDSPACE RESOURCE,04/02/2015,1250,EDB PLACEMENTS,V000866179
ROCHDALE BOROUGH COUNCIL,04/02/2015,PROPERTY AND HIGHWAYS,NPOWER LIMITED,04/02/2015,199104.6,ELECTRICITY,V000867952
ROCHDALE BOROUGH COUNCIL,04/02/2015,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,04/02/2015,3120,ROADWORKS,V000867957
ROCHDALE BOROUGH COUNCIL,12/02/2015,ECONOMY AND ENVIRONMENT,CHARTERED INSTITUTE OF HOUSING,12/02/2015,1650,PROFESSIONAL FEES,V000868140
ROCHDALE BOROUGH COUNCIL,11/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE & DIST CITIZENS ADVICE BUREAU,11/02/2015,4166.67,GRANTS TO THE VOLUNTARY SECTOR,V000868141
ROCHDALE BOROUGH COUNCIL,13/02/2015,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD (DFC),13/02/2015,71891.82,IMPROVEMENTS-MODERNISATION,V000868145
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE BOROUGH SHOPMOBILITY,03/02/2015,7700,GRANTS TO THE VOLUNTARY SECTOR,V000868147
ROCHDALE BOROUGH COUNCIL,24/02/2015,CUSTOMERS & CORPORATE SERVICES,BURNLEY BOROUGH COUNCIL,24/02/2015,850,TRAINING-NON QUALIFICATION,V000868151
ROCHDALE BOROUGH COUNCIL,13/02/2015,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/02/2015,26329.59,IMPROVEMENTS-MODERNISATION,V000868186
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,JMHA,13/02/2015,6934,IMPROVEMENTS-MODERNISATION,V000868189
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,JMHA,13/02/2015,29000,IMPROVEMENTS-MODERNISATION,V000868190
ROCHDALE BOROUGH COUNCIL,05/02/2015,CUSTOMERS & CORPORATE SERVICES,ROCHDALE MEDIATION SERVICE LIMITED,05/02/2015,5000,GRANTS AND SUBSCRIPTIONS - GENERAL,V000868202
ROCHDALE BOROUGH COUNCIL,05/02/2015,PHYSICAL DIS & OLDER PEOPLE,TOGETHER WORKING FOR WELLBEING,05/02/2015,16850,SERVICE LEVEL AGREEMENTS,V000868214
ROCHDALE BOROUGH COUNCIL,17/02/2015,EARLY HELP AND SCHOOLS,FAMILY ACTION,17/02/2015,15000,GRANTS AND SUBSCRIPTIONS - GENERAL,V000868252
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,JOSEPH NOBLETT,10/02/2015,4834.75,"TREES, SHRUBS, PLANTS",V000868393
ROCHDALE BOROUGH COUNCIL,04/02/2015,CHILDREN’S SOCIAL CARE,AFRICANS UNITE AGAINST CHILD ABUSE,04/02/2015,625,TRAINING,V000868404
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,TYRE FORCE,04/02/2015,755.4,TRANSACTIONS-EXPENDITURE,V000868408
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,TYRE FORCE,04/02/2015,988.3,TRANSACTIONS-EXPENDITURE,V000868409
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,TYRE FORCE,04/02/2015,998.05,TRANSACTIONS-EXPENDITURE,V000868410
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,TYRE FORCE,04/02/2015,973.05,TRANSACTIONS-EXPENDITURE,V000868411
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,TYRE FORCE,04/02/2015,967.01,TRANSACTIONS-EXPENDITURE,V000868412
ROCHDALE BOROUGH COUNCIL,04/02/2015,LEARNING DIS & MENTAL HEALTH,DB ROCHDALE LTD,04/02/2015,770,PERSONAL BUDGETS - MANAGED,V000868448
ROCHDALE BOROUGH COUNCIL,17/02/2015,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,17/02/2015,850,TRAINING,V000868478
ROCHDALE BOROUGH COUNCIL,17/02/2015,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,17/02/2015,850,TRAINING,V000868488
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,13/02/2015,-5404.8,NURSING LONG TERM,V000868625
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,13/02/2015,-1983.2,NURSING LONG TERM,V000868635
ROCHDALE BOROUGH COUNCIL,16/02/2015,ECONOMY AND ENVIRONMENT,KEY TO THE DOOR,16/02/2015,12500,PROJECT & ACTIVITIES,V000868652
ROCHDALE BOROUGH COUNCIL,13/02/2015,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,13/02/2015,56287.15,STUDENT TRAVEL,V000868661
